exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NASDAQ,XING,2010-02-08,1.73,1.76,1.71,1.73,147400,1.73
NASDAQ,XING,2010-02-05,1.74,1.77,1.66,1.73,765700,1.73
NASDAQ,XING,2010-02-04,1.86,1.90,1.78,1.79,905000,1.79
NASDAQ,XING,2010-02-03,1.89,1.93,1.86,1.86,287500,1.86
NASDAQ,XING,2010-02-02,1.92,1.97,1.83,1.90,921500,1.90
NASDAQ,XING,2010-02-01,2.11,2.11,1.91,1.92,1179800,1.92
NASDAQ,XING,2010-01-29,2.08,2.18,2.06,2.11,904700,2.11
NASDAQ,XING,2010-01-28,2.06,2.12,2.06,2.09,993000,2.09
NASDAQ,XING,2010-01-27,2.14,2.14,2.05,2.10,666000,2.10
NASDAQ,XING,2010-01-26,2.01,2.15,1.99,2.05,553900,2.05
NASDAQ,XING,2010-01-25,2.15,2.19,2.05,2.05,664500,2.05
NASDAQ,XING,2010-01-22,2.23,2.25,2.11,2.11,1312700,2.11
NASDAQ,XING,2010-01-21,2.39,2.40,2.21,2.27,1290700,2.27
NASDAQ,XING,2010-01-20,2.61,2.61,2.29,2.35,1623900,2.35
NASDAQ,XING,2010-01-19,2.50,2.56,2.50,2.54,856500,2.54
NASDAQ,XING,2010-01-15,2.58,2.60,2.50,2.52,662500,2.52
NASDAQ,XING,2010-01-14,2.69,2.69,2.48,2.58,1713600,2.58
NASDAQ,XING,2010-01-13,2.70,2.70,2.45,2.62,1229700,2.62
NASDAQ,XING,2010-01-12,2.76,2.76,2.60,2.60,1016800,2.60
NASDAQ,XING,2010-01-11,2.79,2.87,2.61,2.73,2438000,2.73
NASDAQ,XING,2010-01-08,2.52,2.80,2.48,2.64,3680400,2.64
NASDAQ,XING,2010-01-07,2.29,2.69,2.29,2.48,3875400,2.48
NASDAQ,XING,2010-01-06,2.25,2.33,2.25,2.29,589300,2.29
NASDAQ,XING,2010-01-05,2.27,2.28,2.23,2.28,336200,2.28
NASDAQ,XING,2010-01-04,2.20,2.28,2.17,2.27,314700,2.27
NASDAQ,XING,2009-12-31,2.23,2.24,2.18,2.19,415700,2.19
NASDAQ,XING,2009-12-30,2.26,2.34,2.22,2.22,573000,2.22
NASDAQ,XING,2009-12-29,2.21,2.26,2.21,2.25,389400,2.25
NASDAQ,XING,2009-12-28,2.20,2.25,2.17,2.21,376100,2.21
NASDAQ,XING,2009-12-24,2.25,2.28,2.16,2.21,192400,2.21
NASDAQ,XING,2009-12-23,2.29,2.35,2.21,2.23,446400,2.23
NASDAQ,XING,2009-12-22,2.25,2.28,2.20,2.26,434400,2.26
NASDAQ,XING,2009-12-21,2.20,2.35,2.15,2.29,854600,2.29
NASDAQ,XING,2009-12-18,2.10,2.20,2.10,2.13,394000,2.13
NASDAQ,XING,2009-12-17,2.10,2.15,2.08,2.11,354700,2.11
NASDAQ,XING,2009-12-16,2.10,2.17,2.10,2.10,370600,2.10
NASDAQ,XING,2009-12-15,2.21,2.25,2.10,2.12,420400,2.12
NASDAQ,XING,2009-12-14,2.40,2.42,2.18,2.24,402000,2.24
NASDAQ,XING,2009-12-11,2.40,2.49,2.24,2.33,1092000,2.33
NASDAQ,XING,2009-12-10,2.24,2.46,2.21,2.42,1013900,2.42
NASDAQ,XING,2009-12-09,2.24,2.25,2.21,2.22,289800,2.22
NASDAQ,XING,2009-12-08,2.11,2.22,2.11,2.22,358200,2.22
NASDAQ,XING,2009-12-07,2.20,2.27,2.11,2.14,382000,2.14
NASDAQ,XING,2009-12-04,2.24,2.24,2.11,2.19,387100,2.19
NASDAQ,XING,2009-12-03,2.25,2.29,2.10,2.19,871600,2.19
NASDAQ,XING,2009-12-02,2.01,2.40,2.01,2.14,2628100,2.14
NASDAQ,XING,2009-12-01,1.99,1.99,1.90,1.97,162500,1.97
NASDAQ,XING,2009-11-30,1.98,1.99,1.87,1.89,259800,1.89
NASDAQ,XING,2009-11-27,1.92,1.92,1.85,1.90,92800,1.90
NASDAQ,XING,2009-11-25,1.92,1.97,1.91,1.95,234400,1.95
NASDAQ,XING,2009-11-24,2.02,2.03,1.90,1.92,410500,1.92
NASDAQ,XING,2009-11-23,2.05,2.06,2.00,2.02,220200,2.02
NASDAQ,XING,2009-11-20,2.09,2.16,1.99,2.02,348100,2.02
NASDAQ,XING,2009-11-19,2.08,2.10,2.03,2.06,292200,2.06
NASDAQ,XING,2009-11-18,2.06,2.09,2.05,2.09,155600,2.09
NASDAQ,XING,2009-11-17,2.07,2.10,2.03,2.04,96900,2.04
NASDAQ,XING,2009-11-16,2.06,2.13,2.06,2.10,258500,2.10
NASDAQ,XING,2009-11-13,2.02,2.07,2.00,2.06,99200,2.06
NASDAQ,XING,2009-11-12,2.05,2.06,2.02,2.03,68300,2.03
NASDAQ,XING,2009-11-11,1.97,2.06,1.97,2.05,188900,2.05
NASDAQ,XING,2009-11-10,2.03,2.06,2.00,2.00,157500,2.00
NASDAQ,XING,2009-11-09,2.05,2.10,2.02,2.05,260200,2.05
NASDAQ,XING,2009-11-06,2.02,2.05,2.00,2.00,110200,2.00
NASDAQ,XING,2009-11-05,2.16,2.16,2.00,2.02,345900,2.02
NASDAQ,XING,2009-11-04,2.07,2.24,2.06,2.10,549900,2.10
NASDAQ,XING,2009-11-03,2.00,2.15,2.00,2.04,403300,2.04
NASDAQ,XING,2009-11-02,1.87,2.19,1.87,2.03,521600,2.03
NASDAQ,XING,2009-10-30,1.84,1.90,1.82,1.87,249900,1.87
NASDAQ,XING,2009-10-29,1.80,1.91,1.80,1.87,174300,1.87
NASDAQ,XING,2009-10-28,1.82,1.92,1.80,1.81,389300,1.81
NASDAQ,XING,2009-10-27,1.97,1.99,1.84,1.85,203800,1.85
NASDAQ,XING,2009-10-26,2.01,2.08,1.97,1.97,154100,1.97
NASDAQ,XING,2009-10-23,2.02,2.08,2.00,2.03,140800,2.03
NASDAQ,XING,2009-10-22,2.02,2.05,2.00,2.04,159900,2.04
NASDAQ,XING,2009-10-21,1.98,2.07,1.95,2.06,168100,2.06
NASDAQ,XING,2009-10-20,2.05,2.09,1.99,2.03,169700,2.03
NASDAQ,XING,2009-10-19,2.13,2.13,2.01,2.07,325400,2.07
NASDAQ,XING,2009-10-16,2.07,2.11,2.05,2.10,183000,2.10
NASDAQ,XING,2009-10-15,2.12,2.12,2.06,2.08,112500,2.08
NASDAQ,XING,2009-10-14,2.12,2.12,2.06,2.10,95000,2.10
NASDAQ,XING,2009-10-13,2.01,2.10,2.01,2.10,145600,2.10
NASDAQ,XING,2009-10-12,2.07,2.07,2.02,2.03,127500,2.03
NASDAQ,XING,2009-10-09,1.98,2.07,1.97,2.07,154800,2.07
NASDAQ,XING,2009-10-08,2.03,2.05,1.97,2.00,159300,2.00
NASDAQ,XING,2009-10-07,2.03,2.05,1.98,2.01,162800,2.01
NASDAQ,XING,2009-10-06,2.06,2.10,2.02,2.03,144200,2.03
NASDAQ,XING,2009-10-05,2.03,2.10,2.03,2.08,68700,2.08
NASDAQ,XING,2009-10-02,2.07,2.07,2.00,2.06,443500,2.06
NASDAQ,XING,2009-10-01,2.10,2.11,2.00,2.01,207900,2.01
NASDAQ,XING,2009-09-30,2.10,2.15,2.05,2.10,152200,2.10
NASDAQ,XING,2009-09-29,2.18,2.18,2.09,2.15,287200,2.15
NASDAQ,XING,2009-09-28,2.19,2.19,2.09,2.15,110500,2.15
NASDAQ,XING,2009-09-25,2.18,2.21,2.05,2.14,236800,2.14
NASDAQ,XING,2009-09-24,2.09,2.23,2.09,2.19,513400,2.19
NASDAQ,XING,2009-09-23,2.00,2.14,2.00,2.07,319900,2.07
NASDAQ,XING,2009-09-22,1.95,1.99,1.90,1.98,201700,1.98
NASDAQ,XING,2009-09-21,1.91,1.94,1.91,1.92,118900,1.92
NASDAQ,XING,2009-09-18,1.97,1.97,1.91,1.95,142700,1.95
NASDAQ,XING,2009-09-17,1.90,1.94,1.90,1.91,144500,1.91
NASDAQ,XING,2009-09-16,1.90,1.91,1.88,1.90,119400,1.90
NASDAQ,XING,2009-09-15,1.95,1.95,1.82,1.88,292600,1.88
NASDAQ,XING,2009-09-14,1.87,1.90,1.82,1.86,136500,1.86
NASDAQ,XING,2009-09-11,1.99,1.99,1.88,1.88,90300,1.88
NASDAQ,XING,2009-09-10,1.95,1.95,1.87,1.91,91300,1.91
NASDAQ,XING,2009-09-09,1.90,1.92,1.87,1.90,139600,1.90
NASDAQ,XING,2009-09-08,1.93,1.95,1.88,1.88,87200,1.88
NASDAQ,XING,2009-09-04,1.88,1.92,1.84,1.89,73200,1.89
NASDAQ,XING,2009-09-03,1.81,1.86,1.80,1.83,96600,1.83
