exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NASDAQ,ZAGG,2010-02-08,2.71,2.71,2.44,2.57,169900,2.57
NASDAQ,ZAGG,2010-02-05,2.79,2.79,2.45,2.53,333000,2.53
NASDAQ,ZAGG,2010-02-04,2.65,2.85,2.50,2.67,723000,2.67
NASDAQ,ZAGG,2010-02-03,2.66,3.03,2.57,2.73,2439700,2.73
NASDAQ,ZAGG,2010-02-02,2.08,2.49,2.01,2.44,996800,2.44
NASDAQ,ZAGG,2010-02-01,2.04,2.15,2.02,2.05,693900,2.05
NASDAQ,ZAGG,2010-01-29,2.45,2.45,2.02,2.02,737700,2.02
NASDAQ,ZAGG,2010-01-28,2.29,2.49,2.10,2.23,926800,2.23
NASDAQ,ZAGG,2010-01-27,2.29,2.29,2.05,2.13,889500,2.13
NASDAQ,ZAGG,2010-01-26,2.54,2.54,2.27,2.38,710300,2.38
NASDAQ,ZAGG,2010-01-25,3.13,3.15,2.37,2.58,711500,2.58
NASDAQ,ZAGG,2010-01-22,3.15,3.23,3.15,3.15,86800,3.15
NASDAQ,ZAGG,2010-01-21,3.35,3.40,3.10,3.15,178000,3.15
NASDAQ,ZAGG,2010-01-20,3.50,3.56,3.30,3.35,113700,3.35
NASDAQ,ZAGG,2010-01-19,3.55,3.62,3.40,3.49,174400,3.49
NASDAQ,ZAGG,2010-01-15,3.78,3.86,3.59,3.59,156700,3.59
NASDAQ,ZAGG,2010-01-14,3.52,3.74,3.51,3.70,184400,3.70
NASDAQ,ZAGG,2010-01-13,3.28,3.48,3.28,3.40,241300,3.40
NASDAQ,ZAGG,2010-01-12,3.79,3.87,3.15,3.25,741500,3.25
NASDAQ,ZAGG,2010-01-11,3.98,3.98,3.79,3.84,99300,3.84
NASDAQ,ZAGG,2010-01-08,3.96,3.96,3.84,3.93,110600,3.93
NASDAQ,ZAGG,2010-01-07,3.94,3.97,3.84,3.84,80100,3.84
NASDAQ,ZAGG,2010-01-06,4.00,4.00,3.80,3.88,99700,3.88
