exchange,stock_symbol,date,dividends
NASDAQ,BDMS,2009-12-22,0.17
NASDAQ,BDMS,2009-09-23,0.17
NASDAQ,BDMS,2009-06-24,0.17
NASDAQ,BDMS,2009-03-25,0.17
NASDAQ,BDMS,2008-12-23,0.17
NASDAQ,BDMS,2008-09-24,0.17
NASDAQ,BDMS,2008-06-25,0.17
NASDAQ,BDMS,2008-03-26,0.17
NASDAQ,BDMS,2007-12-26,0.15
NASDAQ,BDMS,2007-09-26,0.15
NASDAQ,BDMS,2007-06-27,0.15
NASDAQ,BDMS,2007-03-28,0.15
NASDAQ,BDMS,2006-12-28,0.13
NASDAQ,BDMS,2006-12-27,0.13
NASDAQ,BDMS,2006-09-27,0.13
NASDAQ,BDMS,2006-06-28,0.13
NASDAQ,BDMS,2006-03-29,0.13
NASDAQ,BDMS,2005-12-28,0.1
NASDAQ,BDMS,2005-09-28,0.1
NASDAQ,BDMS,2005-06-28,0.1
NASDAQ,BDMS,2005-03-29,0.1
NASDAQ,BDMS,2004-12-29,0.0375
NASDAQ,BDMS,2004-09-28,0.0375
NASDAQ,BDMS,2004-06-28,0.0375
NASDAQ,BDMS,2004-03-29,0.0375
NASDAQ,BMTC,2010-02-04,0.14
NASDAQ,BMTC,2009-11-06,0.14
NASDAQ,BMTC,2009-08-12,0.14
NASDAQ,BMTC,2009-05-05,0.14
NASDAQ,BMTC,2009-02-05,0.14
NASDAQ,BMTC,2008-11-06,0.14
NASDAQ,BMTC,2008-08-04,0.14
NASDAQ,BMTC,2008-05-02,0.13
NASDAQ,BMTC,2008-02-07,0.13
NASDAQ,BMTC,2007-11-01,0.13
NASDAQ,BMTC,2007-08-02,0.13
NASDAQ,BMTC,2007-05-03,0.12
NASDAQ,BMTC,2007-02-01,0.12
NASDAQ,BMTC,2006-11-02,0.12
NASDAQ,BMTC,2006-08-03,0.12
NASDAQ,BMTC,2006-05-03,0.11
NASDAQ,BMTC,2006-02-02,0.11
NASDAQ,BMTC,2005-10-27,0.11
NASDAQ,BMTC,2005-07-28,0.11
NASDAQ,BMTC,2005-04-27,0.1
NASDAQ,BMTC,2005-01-27,0.1
NASDAQ,BMTC,2004-10-28,0.1
NASDAQ,BMTC,2004-07-29,0.1
NASDAQ,BMTC,2004-04-28,0.1
NASDAQ,BMTC,2004-01-28,0.1
NASDAQ,BMTC,2003-10-29,0.1
NASDAQ,BMTC,2003-07-31,0.1
NASDAQ,BMTC,2003-04-28,0.1
NASDAQ,BMTC,2003-01-29,0.1
NASDAQ,BMTC,2002-10-29,0.095
NASDAQ,BMTC,2002-07-29,0.095
NASDAQ,BMTC,2002-04-26,0.095
NASDAQ,BMTC,2002-01-30,0.095
NASDAQ,BMTC,2001-10-25,0.09
NASDAQ,BMTC,2001-07-27,0.09
NASDAQ,BMTC,2001-04-26,0.09
NASDAQ,BMTC,2001-01-30,0.09
NASDAQ,BMTC,2000-11-01,0.085
NASDAQ,BMTC,2000-08-02,0.085
NASDAQ,BMTC,2000-04-27,0.085
NASDAQ,BMTC,2000-01-28,0.085
NASDAQ,BMTC,1999-10-28,0.075
NASDAQ,BMTC,1999-07-29,0.075
NASDAQ,BMTC,1999-04-29,0.075
NASDAQ,BMTC,1999-01-28,0.075
NASDAQ,BMTC,1998-10-29,0.06
NASDAQ,BMTC,1998-07-30,0.0575
NASDAQ,BMTC,1998-04-29,0.0575
NASDAQ,BMTC,1998-01-29,0.0575
NASDAQ,BMTC,1997-11-05,0.045
NASDAQ,BMTC,1997-07-30,0.045
NASDAQ,BMTC,1997-04-30,0.045
NASDAQ,BMTC,1997-01-30,0.045
NASDAQ,BMTC,1996-10-30,0.0375
NASDAQ,BMTC,1996-07-31,0.03125
NASDAQ,BMTC,1996-05-01,0.03125
NASDAQ,BMTC,1996-04-02,0.03125
NASDAQ,BMTC,1996-01-31,0.03125
NASDAQ,BMTC,1995-11-01,0.03125
NASDAQ,BMTC,1995-08-02,0.03125
NASDAQ,BMTC,1995-05-01,0.03125
NASDAQ,BMTC,1995-01-30,0.03125
NASDAQ,BMTC,1994-10-31,0.01875
NASDAQ,BMTC,1994-08-01,0.01875
NASDAQ,BMTC,1994-05-02,0.01875
NASDAQ,BMTC,1994-01-31,0.01875
NASDAQ,BMTC,1993-11-01,0.01875
NASDAQ,BMTC,1993-08-02,0.01875
NASDAQ,BMTC,1993-05-03,0.01875
NASDAQ,BMTC,1993-02-01,0.01875
NASDAQ,BMTC,1991-06-28,0.01875
NASDAQ,BMTC,1991-04-01,0.01875
NASDAQ,BMTC,1990-12-28,0.0475
NASDAQ,BMTC,1990-10-01,0.0475
NASDAQ,BMTC,1990-06-29,0.0475
NASDAQ,BMTC,1990-04-02,0.0475
NASDAQ,BDGE,2009-12-28,0.23
NASDAQ,BDGE,2009-10-08,0.23
NASDAQ,BDGE,2009-07-02,0.23
NASDAQ,BDGE,2009-04-09,0.23
NASDAQ,BDGE,2008-12-26,0.23
NASDAQ,BDGE,2008-10-03,0.23
NASDAQ,BDGE,2008-07-03,0.23
NASDAQ,BDGE,2008-04-04,0.23
NASDAQ,BDGE,2007-12-27,0.23
NASDAQ,BDGE,2007-10-04,0.23
NASDAQ,BDGE,2007-07-05,0.23
NASDAQ,BDGE,2007-04-04,0.23
NASDAQ,BDGE,2006-12-28,0.23
NASDAQ,BDGE,2006-10-05,0.23
NASDAQ,BDGE,2006-07-06,0.23
NASDAQ,BDGE,2006-04-06,0.23
NASDAQ,BDGE,2005-12-28,0.23
NASDAQ,BDGE,2005-09-28,0.23
NASDAQ,BDGE,2005-06-29,0.23
NASDAQ,BDGE,2005-03-29,0.22
NASDAQ,BDGE,2004-12-29,0.21
NASDAQ,BDGE,2004-09-28,0.18
NASDAQ,BDGE,2004-06-30,0.16667
NASDAQ,BDGE,2004-03-29,0.16
NASDAQ,BDGE,2003-12-29,0.42
NASDAQ,BDGE,2003-09-26,0.13333
NASDAQ,BDGE,2003-06-26,0.12
NASDAQ,BDGE,2003-03-27,0.11333
NASDAQ,BDGE,2002-12-27,0.10667
NASDAQ,BDGE,2002-09-26,0.1
NASDAQ,BDGE,2002-06-26,0.1
NASDAQ,BDGE,2002-03-26,0.1
NASDAQ,BDGE,2001-12-27,0.1
NASDAQ,BDGE,2001-09-26,0.09333
NASDAQ,BDGE,2001-06-27,0.08667
NASDAQ,BDGE,2001-03-28,0.08667
NASDAQ,BDGE,2000-12-27,0.08667
NASDAQ,BMRC,2010-02-02,0.15
NASDAQ,BMRC,2009-10-29,0.15
NASDAQ,BMRC,2009-07-30,0.14
NASDAQ,BMRC,2009-04-29,0.14
NASDAQ,BMRC,2009-01-29,0.14
NASDAQ,BMRC,2008-10-30,0.14
NASDAQ,BMRC,2008-07-30,0.14
NASDAQ,BMRC,2008-04-29,0.14
NASDAQ,BMRC,2008-02-13,0.14
NASDAQ,BMRC,2007-11-19,0.13
NASDAQ,BMRC,2007-08-21,0.13
NASDAQ,BMRC,2007-06-20,0.001
NASDAQ,BMRC,2007-05-17,0.13
NASDAQ,BMRC,2007-02-12,0.12
NASDAQ,BMRC,2006-11-15,0.12
NASDAQ,BMRC,2006-08-16,0.12
NASDAQ,BMRC,2006-05-17,0.12
NASDAQ,BMRC,2006-02-15,0.09524
NASDAQ,BMRC,2005-11-17,0.09524
NASDAQ,BMRC,2005-08-17,0.09524
NASDAQ,BMRC,2004-05-25,0.36281
NASDAQ,BCBP,2010-01-27,0.12
NASDAQ,BCBP,2009-10-28,0.12
NASDAQ,BCBP,2009-07-28,0.12
NASDAQ,BCBP,2009-04-28,0.12
NASDAQ,BCBP,2009-01-28,0.12
NASDAQ,BCBP,2008-10-28,0.12
NASDAQ,BCBP,2008-07-28,0.1
NASDAQ,BCBP,2008-04-28,0.1
NASDAQ,BCBP,2008-01-28,0.09
NASDAQ,BCBP,2007-10-26,0.09
NASDAQ,BCBP,2007-07-25,0.08
NASDAQ,BCBP,2007-04-20,0.08
NASDAQ,BCBP,2007-02-23,0.07
NASDAQ,BCBP,2006-08-30,0.3
NASDAQ,BOCH,2009-12-29,0.06
NASDAQ,BOCH,2009-09-28,0.06
NASDAQ,BOCH,2009-07-22,0.06
NASDAQ,BOCH,2009-03-27,0.06
NASDAQ,BOCH,2008-12-29,0.08
NASDAQ,BOCH,2008-09-26,0.08
NASDAQ,BOCH,2008-06-26,0.08
NASDAQ,BOCH,2008-03-27,0.08
NASDAQ,BOCH,2007-12-27,0.08
NASDAQ,BOCH,2007-09-26,0.08
NASDAQ,BOCH,2007-06-27,0.08
NASDAQ,BOCH,2007-03-30,0.08
NASDAQ,BOCH,2006-12-27,0.09
NASDAQ,BOCH,2006-09-27,0.07
NASDAQ,BOCH,2006-06-28,0.07
NASDAQ,BOCH,2006-03-29,0.07
NASDAQ,BOCH,2005-12-28,0.08
NASDAQ,BOCH,2005-09-28,0.06
NASDAQ,BOCH,2005-06-28,0.06
NASDAQ,BOCH,2005-03-29,0.06
NASDAQ,BOCH,2004-09-29,0.23
NASDAQ,BOCH,2003-09-29,0.21667
NASDAQ,BOCH,2002-09-27,0.21667
NASDAQ,BOCH,2001-09-27,0.21667
NASDAQ,BCSB,2006-09-19,0.125
NASDAQ,BCSB,2006-06-20,0.125
NASDAQ,BCSB,2006-03-20,0.125
NASDAQ,BCSB,2005-12-20,0.125
NASDAQ,BCSB,2005-09-20,0.125
NASDAQ,BCSB,2005-06-21,0.125
NASDAQ,BCSB,2005-03-21,0.125
NASDAQ,BCSB,2004-12-21,0.125
NASDAQ,BCSB,2004-09-20,0.125
NASDAQ,BCSB,2004-06-23,0.125
NASDAQ,BCSB,2004-03-23,0.125
NASDAQ,BCSB,2003-12-23,0.125
NASDAQ,BCSB,2003-09-23,0.125
NASDAQ,BCSB,2003-06-24,0.125
NASDAQ,BCSB,2003-03-27,0.125
NASDAQ,BCSB,2002-12-23,0.125
NASDAQ,BCSB,2002-09-27,0.125
NASDAQ,BCSB,2002-06-25,0.125
NASDAQ,BCSB,2002-03-28,0.125
NASDAQ,BCSB,2001-12-26,0.125
NASDAQ,BCSB,2001-09-25,0.125
NASDAQ,BCSB,2001-06-25,0.125
NASDAQ,BCSB,2001-03-28,0.125
NASDAQ,BCSB,2000-12-27,0.125
NASDAQ,BCSB,2000-09-25,0.125
NASDAQ,BCSB,2000-06-21,0.125
NASDAQ,BCSB,2000-03-21,0.125
NASDAQ,BCSB,1999-12-20,0.125
NASDAQ,BCSB,1999-09-23,0.125
NASDAQ,BCSB,1999-06-25,0.126
NASDAQ,BCSB,1999-04-01,0.125
NASDAQ,BWINB,2009-11-13,0.25
NASDAQ,BWINB,2009-08-14,0.25
NASDAQ,BWINB,2009-05-15,0.25
NASDAQ,BWINB,2009-02-20,0.25
NASDAQ,BWINB,2008-11-14,0.25
NASDAQ,BWINB,2008-08-15,0.25
NASDAQ,BWINB,2008-05-16,0.25
NASDAQ,BWINB,2008-02-14,0.25
NASDAQ,BWINB,2007-11-16,0.35
NASDAQ,BWINB,2007-08-17,0.6
NASDAQ,BWINB,2007-05-11,0.25
NASDAQ,BWINB,2007-02-15,0.45
NASDAQ,BWINB,2006-11-17,0.45
NASDAQ,BWINB,2006-08-11,0.25
NASDAQ,BWINB,2006-05-12,1.5
NASDAQ,BWINB,2006-02-27,0.35
NASDAQ,BWINB,2005-11-10,0.25
NASDAQ,BWINB,2005-08-12,0.35
NASDAQ,BWINB,2005-05-13,0.1
NASDAQ,BWINB,2005-02-11,0.25
NASDAQ,BWINB,2004-11-12,1.0
NASDAQ,BWINB,2004-08-13,0.15
NASDAQ,BWINB,2004-05-14,0.4
NASDAQ,BWINB,2004-02-12,0.5
NASDAQ,BWINB,2003-11-14,0.35
NASDAQ,BWINB,2003-08-15,0.1
NASDAQ,BWINB,2003-05-16,0.1
NASDAQ,BWINB,2003-02-28,0.08
NASDAQ,BWINB,2002-11-15,0.08
NASDAQ,BWINB,2002-08-16,0.08
NASDAQ,BWINB,2002-05-17,0.08
NASDAQ,BWINB,2002-02-14,0.08
NASDAQ,BWINB,2001-11-16,0.08
NASDAQ,BWINB,2001-08-17,0.08
NASDAQ,BWINB,2001-05-11,0.08
NASDAQ,BWINB,2001-02-23,0.08
NASDAQ,BWINB,2000-11-10,0.08
NASDAQ,BWINB,2000-08-11,0.08
NASDAQ,BWINB,2000-05-12,0.08
NASDAQ,BWINB,2000-02-11,0.08
NASDAQ,BWINB,1999-11-12,0.08
NASDAQ,BWINB,1999-08-13,0.08
NASDAQ,BWINB,1999-05-14,0.08
NASDAQ,BWINB,1999-02-11,0.08
NASDAQ,BWINB,1998-11-13,0.08
NASDAQ,BWINB,1998-08-14,0.08
NASDAQ,BWINB,1998-05-15,0.08
NASDAQ,BWINB,1998-02-12,0.08
NASDAQ,BWINB,1997-11-13,0.08
NASDAQ,BWINB,1997-08-08,0.08
NASDAQ,BWINB,1997-05-16,0.08
NASDAQ,BWINB,1997-02-13,0.08
NASDAQ,BWINB,1996-11-06,0.08
NASDAQ,BWINB,1996-08-09,0.08
NASDAQ,BWINB,1996-05-17,0.064
NASDAQ,BWINB,1996-02-09,0.064
NASDAQ,BWINB,1995-11-10,0.064
NASDAQ,BWINB,1995-08-11,0.064
NASDAQ,BWINB,1995-05-10,0.064
NASDAQ,BWINB,1995-02-13,0.048
NASDAQ,BWINB,1994-11-08,0.128
NASDAQ,BWINB,1994-08-10,0.048
NASDAQ,BWINB,1994-05-11,0.048
NASDAQ,BWINB,1994-02-15,0.04
NASDAQ,BWINB,1993-11-09,0.04
NASDAQ,BWINB,1993-08-16,0.04
NASDAQ,BWINB,1993-05-17,0.03334
NASDAQ,BWINB,1993-02-12,0.03334
NASDAQ,BWINB,1992-11-17,0.03334
NASDAQ,BWINB,1992-08-17,0.03334
NASDAQ,BWINB,1992-05-18,0.02
NASDAQ,BWINB,1992-02-24,0.02
NASDAQ,BWINB,1991-11-08,0.02
NASDAQ,BWINB,1991-08-12,0.02
NASDAQ,BWINB,1991-05-20,0.02
NASDAQ,BWINB,1991-02-04,0.02
NASDAQ,BWINB,1990-11-05,0.02
NASDAQ,BWINB,1990-08-06,0.02
NASDAQ,BWINB,1990-05-08,0.02
NASDAQ,BWINB,1990-02-05,0.02
NASDAQ,BWINB,1989-11-06,0.02
NASDAQ,BWINB,1989-08-07,0.01334
NASDAQ,BWINB,1989-05-10,0.01334
NASDAQ,BWINB,1989-02-06,0.01334
NASDAQ,BWINB,1988-11-04,0.01334
NASDAQ,BWINB,1988-08-08,0.01334
NASDAQ,BWINB,1988-05-10,0.01334
NASDAQ,BWINB,1988-02-08,0.01334
NASDAQ,BWINB,1986-11-07,0.01334
NASDAQ,BWINB,1986-08-04,0.01066
NASDAQ,BYFC,2010-01-06,0.05
NASDAQ,BYFC,2009-10-14,0.05
NASDAQ,BYFC,2009-07-13,0.05
NASDAQ,BYFC,2009-04-07,0.05
NASDAQ,BYFC,2009-01-08,0.05
NASDAQ,BYFC,2008-10-08,0.05
NASDAQ,BYFC,2008-07-09,0.05
NASDAQ,BYFC,2008-04-10,0.05
NASDAQ,BYFC,2008-01-04,0.05
NASDAQ,BYFC,2007-10-03,0.05
NASDAQ,BYFC,2007-07-11,0.05
NASDAQ,BYFC,2007-04-04,0.05
NASDAQ,BYFC,2007-01-04,0.05
NASDAQ,BYFC,2006-10-04,0.05
NASDAQ,BYFC,2006-06-29,0.05
NASDAQ,BYFC,2006-03-30,0.05
NASDAQ,BYFC,2006-03-29,0.05
NASDAQ,BYFC,2006-01-04,0.05
NASDAQ,BYFC,2005-10-07,0.05
NASDAQ,BYFC,2005-07-01,0.05
NASDAQ,BYFC,2005-03-31,0.05
NASDAQ,BYFC,2005-01-05,0.05
NASDAQ,BYFC,2004-11-05,0.05
NASDAQ,BYFC,2004-06-30,0.05
NASDAQ,BYFC,2004-03-31,0.038
NASDAQ,BYFC,2004-01-02,0.038
NASDAQ,BYFC,2003-10-02,0.038
NASDAQ,BYFC,2003-06-27,0.038
NASDAQ,BYFC,2003-03-28,0.038
NASDAQ,BYFC,2002-12-27,0.038
NASDAQ,BYFC,2002-10-02,0.025
NASDAQ,BYFC,2002-07-02,0.025
NASDAQ,BYFC,2002-04-04,0.025
NASDAQ,BYFC,2002-01-03,0.025
NASDAQ,BYFC,2001-09-27,0.025
NASDAQ,BYFC,2001-06-28,0.025
NASDAQ,BYFC,2001-04-04,0.025
NASDAQ,BYFC,2000-12-27,0.025
NASDAQ,BYFC,2000-10-04,0.025
NASDAQ,BYFC,2000-06-30,0.025
NASDAQ,BYFC,2000-04-03,0.025
NASDAQ,BYFC,1999-12-31,0.025
NASDAQ,BYFC,1999-10-01,0.025
NASDAQ,BYFC,1999-06-28,0.025
NASDAQ,BYFC,1999-03-29,0.025
NASDAQ,BYFC,1998-12-29,0.025
NASDAQ,BYFC,1998-09-29,0.025
NASDAQ,BYFC,1998-06-26,0.02315
NASDAQ,BYFC,1998-03-27,0.02315
NASDAQ,BYFC,1997-12-29,0.02315
NASDAQ,BYFC,1997-09-26,0.02315
NASDAQ,BYFC,1997-06-26,0.02315
NASDAQ,BYFC,1997-03-26,0.02315
NASDAQ,BYFC,1996-12-27,0.02315
NASDAQ,BYFC,1996-09-26,0.02315
NASDAQ,BYFC,1996-07-25,0.02315
NASDAQ,BYFC,1996-04-11,0.02315
NASDAQ,BARI,2009-11-16,0.17
NASDAQ,BARI,2009-08-17,0.17
NASDAQ,BARI,2009-05-11,0.17
NASDAQ,BARI,2009-02-13,0.17
NASDAQ,BARI,2008-11-07,0.17
NASDAQ,BARI,2008-08-11,0.17
NASDAQ,BARI,2008-05-12,0.16
NASDAQ,BARI,2008-02-11,0.16
NASDAQ,BARI,2007-11-09,0.16
NASDAQ,BARI,2007-08-13,0.15
NASDAQ,BARI,2007-05-14,0.15
NASDAQ,BARI,2007-02-12,0.15
NASDAQ,BARI,2006-11-03,0.15
NASDAQ,BARI,2006-08-04,0.15
NASDAQ,BARI,2006-05-05,0.15
NASDAQ,BARI,2006-02-10,0.15
NASDAQ,BARI,2005-11-04,0.15
NASDAQ,BARI,2005-08-05,0.15
NASDAQ,BARI,2005-05-06,0.15
NASDAQ,BARI,2005-02-11,0.15
NASDAQ,BARI,2004-11-05,0.15
NASDAQ,BARI,2004-08-06,0.15
NASDAQ,BARI,2004-05-07,0.14
NASDAQ,BARI,2004-02-12,0.14
NASDAQ,BARI,2003-11-06,0.14
NASDAQ,BARI,2003-08-01,0.14
NASDAQ,BARI,2003-05-02,0.14
NASDAQ,BARI,2003-02-13,0.14
NASDAQ,BARI,2002-11-01,0.14
NASDAQ,BARI,2002-08-02,0.13
NASDAQ,BARI,2002-05-03,0.13
NASDAQ,BARI,2002-02-08,0.13
NASDAQ,BARI,2001-11-02,0.12
NASDAQ,BARI,2001-08-03,0.12
NASDAQ,BARI,2001-05-04,0.12
NASDAQ,BARI,2001-02-09,0.12
NASDAQ,BARI,2000-11-03,0.12
NASDAQ,BARI,2000-08-04,0.1
NASDAQ,BARI,2000-05-05,0.1
NASDAQ,BARI,2000-02-11,0.1
NASDAQ,BARI,1999-11-05,0.05
NASDAQ,BBGI,2008-09-26,0.05
NASDAQ,BBGI,2008-06-26,0.063
NASDAQ,BBGI,2008-03-27,0.063
NASDAQ,BBGI,2007-12-27,0.063
NASDAQ,BBGI,2007-09-26,0.063
NASDAQ,BBGI,2007-06-27,0.063
NASDAQ,BBGI,2007-03-28,0.063
NASDAQ,BBGI,2006-12-27,0.063
NASDAQ,BBGI,2006-09-27,0.063
NASDAQ,BBGI,2006-06-28,0.063
NASDAQ,BBGI,2006-03-29,0.063
NASDAQ,BBGI,2005-12-29,0.063
NASDAQ,BBGI,2005-12-28,0.0
NASDAQ,BLKB,2009-11-24,0.1
NASDAQ,BLKB,2009-08-26,0.1
NASDAQ,BLKB,2009-05-26,0.1
NASDAQ,BLKB,2009-02-25,0.1
NASDAQ,BLKB,2008-11-25,0.1
NASDAQ,BLKB,2008-08-26,0.1
NASDAQ,BLKB,2008-05-23,0.1
NASDAQ,BLKB,2008-02-26,0.1
NASDAQ,BLKB,2007-11-26,0.085
NASDAQ,BLKB,2007-08-24,0.085
NASDAQ,BLKB,2007-05-23,0.085
NASDAQ,BLKB,2007-02-26,0.085
NASDAQ,BLKB,2006-11-24,0.07
NASDAQ,BLKB,2006-08-24,0.07
NASDAQ,BLKB,2006-05-24,0.07
NASDAQ,BLKB,2006-02-24,0.07
NASDAQ,BLKB,2005-11-10,0.05
NASDAQ,BLKB,2005-08-11,0.05
NASDAQ,BLKB,2005-05-11,0.05
NASDAQ,BLKB,2005-02-10,0.05
NASDAQ,BNSO,2006-09-27,0.05
NASDAQ,BNSO,2005-07-27,0.1
NASDAQ,BNSO,2004-07-28,0.1
NASDAQ,BNSO,2004-04-28,0.0
NASDAQ,BNSO,2003-04-28,0.05
NASDAQ,BNSO,2001-12-19,0.1
NASDAQ,BNSO,2001-01-29,0.1
NASDAQ,BEBE,2009-11-25,0.025
NASDAQ,BEBE,2009-09-16,0.025
NASDAQ,BEBE,2009-07-09,0.05
NASDAQ,BEBE,2009-03-27,0.05
NASDAQ,BEBE,2008-11-26,0.05
NASDAQ,BEBE,2008-09-05,0.05
NASDAQ,BEBE,2008-07-02,0.05
NASDAQ,BEBE,2008-04-10,0.05
NASDAQ,BEBE,2007-12-12,0.05
NASDAQ,BEBE,2007-09-12,0.05
NASDAQ,BEBE,2007-07-12,0.05
NASDAQ,BEBE,2007-04-12,0.05
NASDAQ,BEBE,2006-12-13,0.05
NASDAQ,BEBE,2006-09-14,0.05
NASDAQ,BEBE,2006-06-29,0.05
NASDAQ,BEBE,2006-04-06,0.04
NASDAQ,BEBE,2005-12-14,0.04
NASDAQ,BEBE,2005-09-15,0.04
NASDAQ,BEBE,2005-06-16,0.04
NASDAQ,BEBE,2005-03-17,0.022
NASDAQ,BEBE,2004-12-08,0.02222
NASDAQ,BEBE,2004-09-07,0.02222
NASDAQ,BUSE,2010-01-29,0.04
NASDAQ,BUSE,2009-10-23,0.04
NASDAQ,BUSE,2009-07-17,0.08
NASDAQ,BUSE,2009-04-24,0.08
NASDAQ,BUSE,2009-01-23,0.2
NASDAQ,BUSE,2008-10-17,0.2
NASDAQ,BUSE,2008-07-18,0.2
NASDAQ,BUSE,2008-04-18,0.2
NASDAQ,BUSE,2008-01-17,0.2
NASDAQ,BUSE,2007-10-19,0.18
NASDAQ,BUSE,2007-07-13,0.18
NASDAQ,BUSE,2007-04-13,0.18
NASDAQ,BUSE,2007-01-19,0.23
NASDAQ,BUSE,2006-10-13,0.16
NASDAQ,BUSE,2006-07-14,0.16
NASDAQ,BUSE,2006-04-13,0.16
NASDAQ,BUSE,2006-01-12,0.16
NASDAQ,BUSE,2005-10-14,0.14
NASDAQ,BUSE,2005-07-15,0.14
NASDAQ,BUSE,2005-04-15,0.14
NASDAQ,BUSE,2005-01-13,0.14
NASDAQ,BUSE,2004-10-15,0.13
NASDAQ,BUSE,2004-07-16,0.12667
NASDAQ,BUSE,2004-04-16,0.12667
NASDAQ,BUSE,2004-01-15,0.12667
NASDAQ,BUSE,2003-10-17,0.11333
NASDAQ,BUSE,2003-07-11,0.11333
NASDAQ,BUSE,2003-04-11,0.11333
NASDAQ,BUSE,2003-01-16,0.11333
NASDAQ,BUSE,2002-10-10,0.1
NASDAQ,BUSE,2002-07-12,0.1
NASDAQ,BUSE,2002-04-12,0.1
NASDAQ,BUSE,2002-01-17,0.1
NASDAQ,BUSE,2001-10-12,0.08667
NASDAQ,BUSE,2001-07-13,0.08667
NASDAQ,BUSE,2001-04-12,0.08667
NASDAQ,BUSE,2001-01-19,0.08667
NASDAQ,BUSE,2000-10-13,0.08
NASDAQ,BUSE,2000-07-14,0.08
NASDAQ,BUSE,2000-04-14,0.08
NASDAQ,BUSE,2000-01-13,0.08
NASDAQ,BUSE,1999-10-15,0.07333
NASDAQ,BUSE,1999-07-16,0.06667
NASDAQ,BUSE,1999-04-16,0.06667
NASDAQ,BUSE,1999-01-14,0.06667
NASDAQ,BUSE,1998-10-16,0.06667
NASDAQ,BAMM,2009-12-01,0.05
NASDAQ,BAMM,2009-09-01,0.05
NASDAQ,BAMM,2009-06-03,0.05
NASDAQ,BAMM,2009-03-31,0.05
NASDAQ,BAMM,2008-12-03,0.05
NASDAQ,BAMM,2008-09-02,0.09
NASDAQ,BAMM,2008-06-03,0.09
NASDAQ,BAMM,2008-04-07,0.09
NASDAQ,BAMM,2007-12-07,0.09
NASDAQ,BAMM,2007-08-31,0.09
NASDAQ,BAMM,2007-06-18,3.0
NASDAQ,BAMM,2007-06-07,0.09
NASDAQ,BAMM,2007-04-11,0.09
NASDAQ,BAMM,2006-11-29,0.08
NASDAQ,BAMM,2006-08-29,0.08
NASDAQ,BAMM,2006-05-30,0.08
NASDAQ,BAMM,2006-03-27,0.08
NASDAQ,BAMM,2005-11-25,0.05
NASDAQ,BAMM,2005-08-26,0.05
NASDAQ,BAMM,2005-06-13,0.05
NASDAQ,BAMM,2005-03-24,0.05
NASDAQ,BAMM,2004-11-26,0.03
NASDAQ,BAMM,2004-08-27,0.15
NASDAQ,BELFA,2010-01-13,0.06
NASDAQ,BELFA,2009-10-13,0.06
NASDAQ,BELFA,2009-07-13,0.06
NASDAQ,BELFA,2009-04-13,0.06
NASDAQ,BELFA,2009-01-13,0.06
NASDAQ,BELFA,2008-10-10,0.06
NASDAQ,BELFA,2008-07-11,0.06
NASDAQ,BELFA,2008-04-11,0.06
NASDAQ,BELFA,2008-01-11,0.06
NASDAQ,BELFA,2007-10-11,0.06
NASDAQ,BELFA,2007-07-11,0.04
NASDAQ,BELFA,2007-04-11,0.04
NASDAQ,BELFA,2007-01-10,0.04
NASDAQ,BELFA,2006-10-11,0.04
NASDAQ,BELFA,2006-07-12,0.04
NASDAQ,BELFA,2006-04-11,0.04
NASDAQ,BELFA,2006-02-13,0.04
NASDAQ,BELFA,2005-10-12,0.04
NASDAQ,BELFA,2005-07-13,0.04
NASDAQ,BELFA,2005-04-12,0.04
NASDAQ,BELFA,2005-01-12,0.04
NASDAQ,BELFA,2004-10-13,0.04
NASDAQ,BELFA,2004-07-13,0.04
NASDAQ,BELFA,2004-04-13,0.04
NASDAQ,BELFA,2004-01-13,0.04
