exchange,stock_symbol,date,dividends
NASDAQ,DINE,2009-10-13,2.0
NASDAQ,DINE,2001-12-24,0.108
NASDAQ,DINE,1997-10-16,0.03
NASDAQ,DINE,1997-04-02,0.06
NASDAQ,DINE,1996-10-08,0.06
NASDAQ,DINE,1996-04-02,0.03
NASDAQ,DINE,1995-10-03,0.6
NASDAQ,DINE,1995-04-03,0.3
NASDAQ,DINE,1994-09-30,0.3
NASDAQ,DINE,1994-04-04,0.3
NASDAQ,DINE,1993-10-01,0.2934
NASDAQ,DFZ,2009-11-12,0.05
NASDAQ,DFZ,2009-05-28,0.25
NASDAQ,DGICB,2010-01-28,0.1
NASDAQ,DGICB,2009-10-29,0.1
NASDAQ,DGICB,2009-07-30,0.1
NASDAQ,DGICB,2009-04-29,0.1
NASDAQ,DGICB,2009-01-29,0.093
NASDAQ,DGICB,2008-10-30,0.093
NASDAQ,DGICB,2008-07-30,0.093
NASDAQ,DGICB,2008-04-29,0.093
NASDAQ,DGICB,2008-01-30,0.078
NASDAQ,DGICB,2007-10-30,0.078
NASDAQ,DGICB,2007-08-02,0.078
NASDAQ,DGICB,2007-04-27,0.078
NASDAQ,DGICB,2007-01-30,0.07
NASDAQ,DGICB,2006-10-30,0.07
NASDAQ,DGICB,2006-07-28,0.07
NASDAQ,DGICB,2006-04-27,0.07
NASDAQ,DGICB,2006-01-30,0.06375
NASDAQ,DGICB,2005-10-28,0.06375
NASDAQ,DGICB,2005-07-28,0.06375
NASDAQ,DGICB,2005-04-28,0.06375
NASDAQ,DGICB,2005-01-28,0.05906
NASDAQ,DGICB,2004-10-28,0.05906
NASDAQ,DGICB,2004-07-29,0.05906
NASDAQ,DGICB,2004-04-28,0.05906
NASDAQ,DGICB,2004-01-29,0.05625
NASDAQ,DGICB,2003-10-31,0.05625
NASDAQ,DGICB,2003-07-30,0.05625
NASDAQ,DGICB,2003-04-29,0.05625
NASDAQ,DGICB,2003-01-30,0.05063
NASDAQ,DGICB,2002-10-30,0.05063
NASDAQ,DGICB,2002-07-31,0.05063
NASDAQ,DGICB,2002-04-29,0.05063
NASDAQ,DGICB,2002-01-30,0.05063
NASDAQ,DGICB,2001-10-30,0.05063
NASDAQ,DGICB,2001-07-30,0.05063
NASDAQ,DGICB,2001-05-11,0.05063
NASDAQ,DGICB,2001-01-30,0.05063
NASDAQ,DGICB,2000-10-30,0.05063
NASDAQ,DGICB,2000-07-28,0.05063
NASDAQ,DGICB,2000-04-27,0.05063
NASDAQ,DGICB,2000-01-28,0.05063
NASDAQ,DGICB,1999-10-28,0.05063
NASDAQ,DGICB,1999-07-29,0.05063
NASDAQ,DGICB,1999-04-29,0.05063
NASDAQ,DGICB,1999-01-28,0.04781
NASDAQ,DGICB,1998-10-29,0.04781
NASDAQ,DGICB,1998-07-30,0.04781
NASDAQ,DGICB,1998-04-29,0.04641
NASDAQ,DGICB,1998-01-29,0.04219
NASDAQ,DGICB,1997-10-30,0.04219
NASDAQ,DGICB,1997-07-30,0.04219
NASDAQ,DGICB,1997-04-29,0.03797
NASDAQ,DGICB,1997-01-30,0.03481
NASDAQ,DGICB,1996-10-30,0.03481
NASDAQ,DGICB,1996-07-30,0.03481
NASDAQ,DGICB,1996-04-29,0.03481
NASDAQ,DGICB,1996-01-30,0.03164
NASDAQ,DGICB,1995-10-30,0.03164
NASDAQ,DGICB,1995-07-28,0.03164
NASDAQ,DGICB,1995-04-25,0.03164
NASDAQ,DGICB,1995-01-23,0.02848
NASDAQ,DGICB,1994-07-22,0.02531
NASDAQ,DGICB,1994-04-22,0.02531
NASDAQ,DGICB,1993-10-25,0.02531
NASDAQ,DGICB,1993-07-21,0.02531
NASDAQ,DGICB,1993-04-21,0.02216
NASDAQ,DGICB,1992-10-21,0.02216
NASDAQ,DGICB,1992-07-21,0.02216
NASDAQ,DGICB,1992-04-21,0.01898
NASDAQ,DGICB,1992-01-21,0.01898
NASDAQ,DGICB,1991-10-22,0.01898
NASDAQ,DGICB,1991-07-23,0.01898
NASDAQ,DGICB,1991-04-23,0.01898
NASDAQ,DGICB,1991-01-18,0.01898
NASDAQ,DGICB,1990-10-23,0.01898
NASDAQ,DISH,2008-01-02,3.766
NASDAQ,DISH,2004-12-06,1.0
NASDAQ,DXYN,1998-09-10,0.05
NASDAQ,DXYN,1998-05-13,0.05
NASDAQ,DXYN,1998-03-04,0.05
NASDAQ,DXYN,1995-11-21,0.05
NASDAQ,DXYN,1994-11-21,0.05
NASDAQ,DXYN,1994-08-23,0.05
NASDAQ,DXYN,1994-05-12,0.05
NASDAQ,DXYN,1994-02-22,0.05
NASDAQ,DXYN,1993-11-22,0.05
NASDAQ,DXYN,1993-08-24,0.05
NASDAQ,DXYN,1993-05-17,0.05
NASDAQ,DXYN,1993-02-26,0.05
NASDAQ,DXYN,1992-11-19,0.05
NASDAQ,DXYN,1992-08-28,0.05
NASDAQ,DXYN,1992-05-08,0.05
NASDAQ,DXYN,1992-03-09,0.05
NASDAQ,DXYN,1991-11-21,0.05
NASDAQ,DXYN,1991-08-23,0.1
NASDAQ,DXYN,1991-05-10,0.1
NASDAQ,DXYN,1991-02-25,0.17
NASDAQ,DXYN,1990-08-20,0.17
NASDAQ,DXYN,1990-05-10,0.17
NASDAQ,DGICA,2010-01-28,0.113
NASDAQ,DGICA,2009-10-29,0.113
NASDAQ,DGICA,2009-07-30,0.113
NASDAQ,DGICA,2009-04-29,0.113
NASDAQ,DGICA,2009-01-29,0.105
NASDAQ,DGICA,2008-10-30,0.105
NASDAQ,DGICA,2008-07-30,0.105
NASDAQ,DGICA,2008-04-29,0.105
NASDAQ,DGICA,2008-01-30,0.09
NASDAQ,DGICA,2007-10-30,0.09
NASDAQ,DGICA,2007-08-02,0.09
NASDAQ,DGICA,2007-04-27,0.09
NASDAQ,DGICA,2007-01-30,0.083
