exchange,stock_symbol,date,dividends
NASDAQ,EMIF,2009-12-21,0.027
NASDAQ,EGLE,2008-11-18,0.5
NASDAQ,EGLE,2008-08-18,0.5
NASDAQ,EGLE,2008-05-16,0.5
NASDAQ,EGLE,2008-03-11,0.5
NASDAQ,EGLE,2007-11-19,0.5
NASDAQ,EGLE,2007-07-30,0.47
NASDAQ,EGLE,2007-04-26,0.5
NASDAQ,EGLE,2007-02-26,0.51
NASDAQ,EGLE,2006-10-26,0.51
NASDAQ,EGLE,2006-07-26,0.5
NASDAQ,EGLE,2006-04-26,0.5
NASDAQ,EGLE,2006-02-13,0.57
NASDAQ,EGLE,2005-10-13,0.54
NASDAQ,EWBC,2010-02-08,0.01
NASDAQ,EWBC,2009-11-06,0.01
NASDAQ,EWBC,2009-08-10,0.01
NASDAQ,EWBC,2009-05-14,0.01
NASDAQ,EWBC,2009-02-06,0.02
NASDAQ,EWBC,2008-11-06,0.1
NASDAQ,EWBC,2008-08-04,0.1
NASDAQ,EWBC,2008-04-28,0.1
NASDAQ,EWBC,2008-02-04,0.1
NASDAQ,EWBC,2007-10-30,0.1
NASDAQ,EWBC,2007-08-07,0.1
NASDAQ,EWBC,2007-04-27,0.1
NASDAQ,EWBC,2007-02-06,0.1
NASDAQ,EWBC,2006-10-30,0.05
NASDAQ,EWBC,2006-08-07,0.05
NASDAQ,EWBC,2006-05-01,0.05
NASDAQ,EWBC,2006-02-06,0.05
NASDAQ,EWBC,2005-10-28,0.05
NASDAQ,EWBC,2005-08-02,0.05
NASDAQ,EWBC,2005-04-29,0.05
NASDAQ,EWBC,2005-02-03,0.05
NASDAQ,EWBC,2004-10-25,0.05
NASDAQ,EWBC,2004-07-26,0.05
NASDAQ,EWBC,2004-04-26,0.05
NASDAQ,EWBC,2004-01-26,0.05
NASDAQ,EWBC,2003-10-28,0.05
NASDAQ,EWBC,2003-07-29,0.05
NASDAQ,EWBC,2003-04-29,0.05
NASDAQ,EWBC,2003-01-23,0.05
NASDAQ,EWBC,2002-10-29,0.034
NASDAQ,EWBC,2002-07-29,0.034
NASDAQ,EWBC,2002-04-29,0.034
NASDAQ,EWBC,2002-02-06,0.034
NASDAQ,EWBC,2001-10-29,0.015
NASDAQ,EWBC,2001-07-27,0.015
NASDAQ,EWBC,2001-05-02,0.015
NASDAQ,EWBC,2001-01-30,0.015
NASDAQ,EWBC,2000-10-30,0.015
NASDAQ,EWBC,2000-08-04,0.015
NASDAQ,EWBC,2000-05-01,0.015
NASDAQ,EWBC,2000-01-31,0.015
NASDAQ,EWBC,1999-11-01,0.015
NASDAQ,EWBC,1999-08-02,0.015
NASDAQ,EWBC,1999-05-03,0.015
NASDAQ,EMCI,2009-11-19,0.18
NASDAQ,EMCI,2009-09-03,0.18
NASDAQ,EMCI,2009-05-28,0.18
NASDAQ,EMCI,2009-03-17,0.18
NASDAQ,EMCI,2008-11-07,0.18
NASDAQ,EMCI,2008-09-05,0.18
NASDAQ,EMCI,2008-06-06,0.18
NASDAQ,EMCI,2008-03-18,0.18
NASDAQ,EMCI,2007-11-16,0.18
NASDAQ,EMCI,2007-09-06,0.17
NASDAQ,EMCI,2007-06-01,0.17
