exchange,stock_symbol,date,dividends
NASDAQ,FWLT,2001-05-11,0.6
NASDAQ,FWLT,2001-02-13,0.6
NASDAQ,FWLT,2000-11-13,0.6
NASDAQ,FWLT,2000-08-11,0.6
NASDAQ,FWLT,2000-05-11,0.6
NASDAQ,FWLT,2000-02-11,0.6
NASDAQ,FWLT,1999-11-10,0.6
NASDAQ,FWLT,1999-08-12,0.6
NASDAQ,FWLT,1999-05-12,2.1
NASDAQ,FWLT,1999-02-11,2.1
NASDAQ,FWLT,1998-11-12,2.1
NASDAQ,FWLT,1998-08-12,2.1
NASDAQ,FWLT,1998-05-13,2.1
NASDAQ,FWLT,1998-02-11,2.1
NASDAQ,FWLT,1997-11-12,2.1
NASDAQ,FWLT,1997-08-13,2.1
NASDAQ,FWLT,1997-05-13,2.1
NASDAQ,FWLT,1997-02-12,2.05
NASDAQ,FWLT,1996-11-13,2.05
NASDAQ,FWLT,1996-08-13,2.05
NASDAQ,FWLT,1996-05-13,2.05
NASDAQ,FWLT,1996-02-13,1.95
NASDAQ,FWLT,1995-11-13,1.95
NASDAQ,FWLT,1995-08-11,1.95
NASDAQ,FWLT,1995-05-09,1.95
NASDAQ,FWLT,1995-02-09,1.85
NASDAQ,FWLT,1994-11-08,1.85
NASDAQ,FWLT,1994-08-09,1.85
NASDAQ,FWLT,1994-05-10,1.85
NASDAQ,FWLT,1994-02-09,1.65
NASDAQ,FWLT,1993-11-08,1.65
NASDAQ,FWLT,1993-08-10,1.65
NASDAQ,FWLT,1993-05-10,1.65
NASDAQ,FWLT,1993-02-08,1.5
NASDAQ,FWLT,1992-11-09,1.5
NASDAQ,FWLT,1992-08-10,1.5
NASDAQ,FWLT,1992-05-11,1.5
NASDAQ,FWLT,1992-02-10,1.35
NASDAQ,FWLT,1991-11-08,1.35
NASDAQ,FWLT,1991-08-09,1.35
NASDAQ,FWLT,1991-05-09,1.35
NASDAQ,FWLT,1991-02-11,1.25
NASDAQ,FWLT,1990-11-08,1.25
NASDAQ,FWLT,1990-08-09,1.25
NASDAQ,FWLT,1990-05-09,1.25
NASDAQ,FWLT,1990-02-09,1.1
NASDAQ,FWLT,1989-11-09,1.1
NASDAQ,FWLT,1989-08-09,1.1
NASDAQ,FWLT,1989-05-09,1.1
NASDAQ,FWLT,1989-02-09,1.1
NASDAQ,FWLT,1988-11-08,1.1
NASDAQ,FWLT,1988-08-09,1.1
NASDAQ,FWLT,1988-05-10,1.1
NASDAQ,FWLT,1988-02-09,1.1
NASDAQ,FWLT,1987-11-06,1.1
NASDAQ,FWLT,1987-08-11,1.1
NASDAQ,FWLT,1987-05-11,1.1
NASDAQ,FWLT,1987-02-10,1.1
NASDAQ,FWLT,1986-11-07,1.1
NASDAQ,FWLT,1986-08-11,1.1
NASDAQ,FWLT,1986-05-09,1.1
NASDAQ,FWLT,1986-02-10,1.1
NASDAQ,FWLT,1985-11-08,1.1
NASDAQ,FWLT,1985-08-09,1.1
NASDAQ,FWLT,1985-05-09,1.1
NASDAQ,FWLT,1985-02-08,1.1
NASDAQ,FWLT,1984-11-08,1.1
NASDAQ,FWLT,1984-08-09,1.1
NASDAQ,FWLT,1984-05-09,1.1
NASDAQ,FWLT,1984-02-08,1.1
NASDAQ,FWLT,1983-11-07,1.1
NASDAQ,FWLT,1983-08-09,1.1
NASDAQ,FWLT,1983-05-09,1.1
NASDAQ,FFIN,2009-12-11,0.34
NASDAQ,FFIN,2009-09-11,0.34
NASDAQ,FFIN,2009-06-11,0.34
NASDAQ,FFIN,2009-02-26,0.34
NASDAQ,FFIN,2008-12-11,0.34
NASDAQ,FFIN,2008-09-11,0.34
NASDAQ,FFIN,2008-06-12,0.34
NASDAQ,FFIN,2008-03-12,0.32
NASDAQ,FFIN,2007-12-13,0.32
NASDAQ,FFIN,2007-09-13,0.32
NASDAQ,FFIN,2007-06-13,0.32
NASDAQ,FFIN,2007-03-13,0.3
NASDAQ,FFIN,2006-12-13,0.3
NASDAQ,FFIN,2006-09-13,0.3
