exchange,stock_symbol,date,dividends
NASDAQ,GAIN,2010-01-19,0.04
NASDAQ,GAIN,2009-12-18,0.04
NASDAQ,GAIN,2009-11-17,0.04
NASDAQ,GAIN,2009-10-20,0.04
NASDAQ,GAIN,2009-09-18,0.04
NASDAQ,GAIN,2009-08-19,0.04
NASDAQ,GAIN,2009-07-21,0.04
NASDAQ,GAIN,2009-06-18,0.04
NASDAQ,GAIN,2009-05-18,0.04
NASDAQ,GAIN,2009-04-23,0.04
NASDAQ,GAIN,2009-03-19,0.08
NASDAQ,GAIN,2009-02-17,0.08
NASDAQ,GAIN,2009-01-20,0.08
NASDAQ,GAIN,2008-12-18,0.08
NASDAQ,GAIN,2008-11-17,0.08
NASDAQ,GAIN,2008-10-21,0.08
NASDAQ,GAIN,2008-09-18,0.08
NASDAQ,GAIN,2008-08-19,0.08
NASDAQ,GAIN,2008-07-21,0.08
NASDAQ,GAIN,2008-06-18,0.08
NASDAQ,GAIN,2008-05-19,0.08
NASDAQ,GAIN,2008-04-18,0.08
NASDAQ,GAIN,2008-03-27,0.005
NASDAQ,GAIN,2008-03-18,0.08
NASDAQ,GAIN,2008-02-19,0.08
NASDAQ,GAIN,2008-01-18,0.08
NASDAQ,GAIN,2007-12-18,0.08
NASDAQ,GAIN,2007-11-19,0.08
NASDAQ,GAIN,2007-10-19,0.08
NASDAQ,GAIN,2007-09-18,0.075
NASDAQ,GAIN,2007-08-21,0.075
NASDAQ,GAIN,2007-07-19,0.075
NASDAQ,GAIN,2007-06-19,0.075
NASDAQ,GAIN,2007-05-18,0.075
NASDAQ,GAIN,2007-04-18,0.075
NASDAQ,GAIN,2007-03-20,0.075
NASDAQ,GAIN,2007-02-15,0.075
NASDAQ,GAIN,2007-01-19,0.075
NASDAQ,GAIN,2006-12-18,0.07
NASDAQ,GAIN,2006-11-17,0.07
NASDAQ,GAIN,2006-10-19,0.07
NASDAQ,GAIN,2006-09-19,0.07
NASDAQ,GAIN,2006-08-21,0.07
NASDAQ,GAIN,2006-07-19,0.07
NASDAQ,GAIN,2006-06-20,0.07
NASDAQ,GAIN,2006-05-18,0.07
NASDAQ,GAIN,2006-04-18,0.07
NASDAQ,GAIN,2006-03-21,0.07
NASDAQ,GAIN,2006-02-15,0.07
NASDAQ,GAIN,2006-01-17,0.07
NASDAQ,GAIN,2005-12-19,0.04
NASDAQ,GAIN,2005-11-17,0.04
NASDAQ,GAIN,2005-10-19,0.04
NASDAQ,GAIN,2005-09-20,0.02
NASDAQ,GAIN,2005-08-19,0.02
NASDAQ,GAIN,2005-07-19,0.02
NASDAQ,GRMN,2009-11-27,0.75
NASDAQ,GRMN,2008-11-26,0.75
NASDAQ,GRMN,2007-08-13,0.75
NASDAQ,GRMN,2006-11-29,0.5
NASDAQ,GRMN,2005-11-29,0.25
NASDAQ,GRMN,2004-11-29,0.25
NASDAQ,GRMN,2003-11-26,0.25
NASDAQ,GPIC,2006-11-22,0.125
NASDAQ,GPIC,2005-11-17,0.1
NASDAQ,GLDC,2010-01-13,0.031
NASDAQ,GLDC,2009-10-01,0.031
NASDAQ,GLDC,2009-07-30,0.031
NASDAQ,GLDC,2009-04-16,0.031
NASDAQ,GLDC,2009-01-14,0.031
NASDAQ,GLDC,2008-10-02,0.031
NASDAQ,GLDC,2008-07-17,0.031
NASDAQ,GLDC,2008-04-10,0.031
NASDAQ,GLDC,2008-01-16,0.031
NASDAQ,GLDC,2007-10-03,0.031
NASDAQ,GLDC,2007-07-19,0.031
NASDAQ,GLDC,2007-04-12,0.031
NASDAQ,GLDC,2007-01-18,0.031
NASDAQ,GLDC,2006-10-04,0.031
NASDAQ,GLDC,2006-07-19,0.031
NASDAQ,GLDC,2006-04-12,0.031
NASDAQ,GLDC,2006-01-11,0.031
NASDAQ,GLDC,2005-10-05,0.031
NASDAQ,GLDC,2005-07-20,0.031
NASDAQ,GLDC,2005-04-14,0.031
NASDAQ,GLDC,2005-01-12,0.031
NASDAQ,GLDC,2004-10-06,0.031
NASDAQ,GLDC,2004-07-21,0.031
NASDAQ,GLDC,2004-04-15,0.031
NASDAQ,GLDC,2004-01-14,0.031
NASDAQ,GLDC,2003-10-08,0.031
NASDAQ,GLDC,2003-07-16,0.03
NASDAQ,GLDC,2003-04-16,0.031
NASDAQ,GLDC,2003-01-15,0.031
NASDAQ,GLDC,2002-10-16,0.063
NASDAQ,GLDC,2002-07-17,0.063
NASDAQ,GLDC,2002-04-17,0.063
NASDAQ,GLDC,2002-01-11,0.063
NASDAQ,GLDC,2001-10-03,0.063
NASDAQ,GLDC,2001-07-18,0.063
NASDAQ,GLDC,2001-04-12,0.063
NASDAQ,GLDC,2001-01-11,0.063
NASDAQ,GLDC,2000-10-04,0.063
NASDAQ,GLDC,2000-07-13,0.06
NASDAQ,GLDC,2000-04-13,0.06
