exchange,stock_symbol,date,dividends
NASDAQ,HTBK,2009-02-25,0.02
NASDAQ,HTBK,2008-11-17,0.08
NASDAQ,HTBK,2008-08-13,0.08
NASDAQ,HTBK,2008-05-14,0.08
NASDAQ,HTBK,2008-02-25,0.08
NASDAQ,HTBK,2007-11-15,0.08
NASDAQ,HTBK,2007-08-14,0.06
NASDAQ,HTBK,2007-05-11,0.06
NASDAQ,HTBK,2007-02-20,0.06
NASDAQ,HTBK,2006-11-07,0.05
NASDAQ,HTBK,2006-08-08,0.05
NASDAQ,HTBK,2006-05-09,0.05
NASDAQ,HTBK,2006-02-15,0.05
NASDAQ,HTBK,2005-03-04,0.001
NASDAQ,HBAN,2009-12-16,0.01
NASDAQ,HBAN,2009-09-09,0.01
NASDAQ,HBAN,2009-06-10,0.01
NASDAQ,HBAN,2009-03-11,0.01
NASDAQ,HBAN,2008-12-10,0.133
NASDAQ,HBAN,2008-09-10,0.133
NASDAQ,HBAN,2008-06-11,0.133
NASDAQ,HBAN,2008-03-12,0.265
NASDAQ,HBAN,2007-12-12,0.265
NASDAQ,HBAN,2007-09-12,0.265
NASDAQ,HBAN,2007-06-13,0.265
NASDAQ,HBAN,2007-03-13,0.265
NASDAQ,HBAN,2006-12-13,0.25
NASDAQ,HBAN,2006-09-13,0.25
NASDAQ,HBAN,2006-06-14,0.25
NASDAQ,HBAN,2006-03-15,0.25
NASDAQ,HBAN,2005-12-14,0.215
NASDAQ,HBAN,2005-09-14,0.215
NASDAQ,HBAN,2005-06-14,0.215
NASDAQ,HBAN,2005-03-15,0.2
NASDAQ,HBAN,2004-12-15,0.2
NASDAQ,HBAN,2004-09-15,0.2
NASDAQ,HBAN,2004-06-16,0.175
NASDAQ,HBAN,2004-03-17,0.175
NASDAQ,HBAN,2003-12-17,0.175
NASDAQ,HBAN,2003-09-17,0.175
NASDAQ,HBAN,2003-06-12,0.16
NASDAQ,HBAN,2003-03-17,0.16
NASDAQ,HBAN,2002-12-18,0.16
NASDAQ,HBAN,2002-09-18,0.16
NASDAQ,HBAN,2002-06-12,0.16
NASDAQ,HBAN,2002-03-13,0.16
NASDAQ,HBAN,2001-12-13,0.16
NASDAQ,HBAN,2001-06-13,0.2
NASDAQ,HBAN,2001-03-14,0.2
NASDAQ,HBAN,2000-12-13,0.2
NASDAQ,HBAN,2000-09-13,0.2
NASDAQ,HBAN,2000-06-14,0.18182
NASDAQ,HBAN,2000-03-14,0.18182
NASDAQ,HBAN,1999-12-14,0.18182
NASDAQ,HBAN,1999-09-14,0.18182
NASDAQ,HBAN,1999-06-14,0.16529
NASDAQ,HBAN,1999-03-15,0.16529
NASDAQ,HBAN,1998-12-14,0.16529
NASDAQ,HBAN,1998-09-14,0.16529
NASDAQ,HBAN,1998-06-11,0.15026
NASDAQ,HBAN,1998-03-13,0.15026
NASDAQ,HBAN,1997-12-12,0.15026
NASDAQ,HBAN,1997-09-12,0.15026
NASDAQ,HBAN,1997-07-11,0.13674
NASDAQ,HBAN,1997-06-12,0.1366
NASDAQ,HBAN,1997-03-13,0.1366
NASDAQ,HBAN,1996-12-12,0.1366
NASDAQ,HBAN,1996-09-12,0.1366
NASDAQ,HBAN,1996-07-12,0.12431
NASDAQ,HBAN,1996-06-12,0.12418
NASDAQ,HBAN,1996-03-13,0.12418
NASDAQ,HBAN,1995-12-12,0.12418
NASDAQ,HBAN,1995-09-13,0.12418
NASDAQ,HBAN,1995-07-12,0.11797
NASDAQ,HBAN,1995-06-14,0.12418
NASDAQ,HBAN,1995-03-13,0.12418
NASDAQ,HBAN,1994-12-09,0.12418
NASDAQ,HBAN,1994-09-12,0.12418
NASDAQ,HBAN,1994-06-08,0.09935
NASDAQ,HBAN,1994-03-08,0.09935
NASDAQ,HBAN,1993-12-07,0.09935
NASDAQ,HBAN,1993-09-07,0.09935
NASDAQ,HBAN,1993-07-12,0.09935
NASDAQ,HBAN,1993-06-08,0.10928
NASDAQ,HBAN,1993-03-02,0.08941
NASDAQ,HBAN,1992-12-08,0.08941
NASDAQ,HBAN,1992-09-08,0.08941
NASDAQ,HBAN,1992-06-02,0.09935
NASDAQ,HBAN,1992-03-03,0.09935
NASDAQ,HBAN,1991-09-03,0.09935
NASDAQ,HBAN,1991-07-09,0.09935
NASDAQ,HBAN,1991-06-04,0.10432
NASDAQ,HBAN,1991-03-05,0.09935
NASDAQ,HBAN,1990-09-04,0.09935
NASDAQ,HBAN,1990-06-05,0.10034
NASDAQ,HOME,2009-11-27,0.055
NASDAQ,HOME,2009-08-26,0.055
NASDAQ,HOME,2009-05-27,0.055
NASDAQ,HOME,2009-02-25,0.055
NASDAQ,HOME,2008-11-25,0.055
NASDAQ,HOME,2008-08-27,0.055
NASDAQ,HOME,2008-05-28,0.055
NASDAQ,HOME,2008-02-25,0.055
NASDAQ,HOME,2007-11-28,0.04842
NASDAQ,HOME,2007-08-29,0.04842
NASDAQ,HOME,2007-05-30,0.04842
NASDAQ,HOME,2007-02-27,0.04842
NASDAQ,HOME,2006-11-29,0.04842
NASDAQ,HOME,2006-08-30,0.04842
NASDAQ,HOME,2006-05-30,0.04842
NASDAQ,HOME,2006-03-08,0.04842
NASDAQ,HOME,2005-11-29,0.04401
NASDAQ,HOME,2005-08-30,0.04401
NASDAQ,HOME,2005-07-25,0.04401
NASDAQ,HOME,2005-05-31,0.04401
NASDAQ,HPGP,2009-02-03,0.1
NASDAQ,HPGP,2008-10-31,0.318
NASDAQ,HPGP,2008-07-31,0.305
NASDAQ,HPGP,2008-05-01,0.28
NASDAQ,HPGP,2008-01-31,0.255
NASDAQ,HPGP,2007-11-02,0.23
NASDAQ,HPGP,2007-08-06,0.22
NASDAQ,HPGP,2007-05-02,0.208
NASDAQ,HPGP,2007-02-01,0.208
NASDAQ,HIMX,2009-06-18,0.3
NASDAQ,HIMX,2008-06-12,0.35
NASDAQ,HIMX,2007-10-03,0.2
NASDAQ,HWAY,1997-12-04,2.05034
NASDAQ,HLND,2009-02-03,0.45
NASDAQ,HLND,2008-10-31,0.88
