exchange,stock_symbol,date,dividends
NASDAQ,JAX,2007-12-27,0.1
NASDAQ,JAX,2006-12-22,0.1
NASDAQ,JAX,2005-12-22,0.1
NASDAQ,JXSB,2009-12-21,0.075
NASDAQ,JXSB,2009-09-23,0.075
NASDAQ,JXSB,2009-06-24,0.075
NASDAQ,JXSB,2009-03-25,0.075
NASDAQ,JXSB,2008-12-17,0.075
NASDAQ,JXSB,2008-09-24,0.075
NASDAQ,JXSB,2008-06-23,0.075
NASDAQ,JXSB,2008-03-26,0.075
NASDAQ,JXSB,2007-12-19,0.075
NASDAQ,JXSB,2007-09-26,0.075
NASDAQ,JXSB,2007-06-27,0.075
NASDAQ,JXSB,2007-03-28,0.075
NASDAQ,JXSB,2006-12-20,0.075
NASDAQ,JXSB,2006-09-27,0.075
NASDAQ,JXSB,2006-06-28,0.075
NASDAQ,JXSB,2006-03-29,0.075
NASDAQ,JXSB,2005-12-28,0.075
NASDAQ,JXSB,2005-09-28,0.075
NASDAQ,JXSB,2005-06-29,0.075
NASDAQ,JXSB,2005-03-22,0.075
NASDAQ,JXSB,2004-12-22,0.075
NASDAQ,JXSB,2004-09-29,0.075
NASDAQ,JXSB,2004-06-23,0.075
NASDAQ,JXSB,2004-03-24,0.075
NASDAQ,JXSB,2003-12-22,0.075
NASDAQ,JXSB,2003-09-29,0.075
NASDAQ,JXSB,2003-06-23,0.075
NASDAQ,JXSB,2003-03-24,0.075
NASDAQ,JXSB,2002-09-23,0.075
NASDAQ,JXSB,2002-06-24,0.075
NASDAQ,JXSB,2002-03-25,0.075
NASDAQ,JXSB,2001-12-21,0.075
NASDAQ,JXSB,2001-09-24,0.075
NASDAQ,JXSB,2001-06-25,0.075
NASDAQ,JXSB,2001-03-26,0.075
NASDAQ,JXSB,2001-01-10,0.075
NASDAQ,JXSB,2000-06-26,0.075
NASDAQ,JXSB,2000-03-27,0.075
NASDAQ,JXSB,1999-12-27,0.075
NASDAQ,JXSB,1999-09-27,0.075
NASDAQ,JXSB,1999-06-21,0.076
NASDAQ,JXSB,1999-03-22,0.075
NASDAQ,JXSB,1998-12-21,0.075
NASDAQ,JXSB,1998-09-21,0.075
NASDAQ,JXSB,1998-06-22,0.075
NASDAQ,JXSB,1998-03-23,0.075
NASDAQ,JXSB,1998-01-09,0.075
NASDAQ,JXSB,1997-12-22,0.06667
NASDAQ,JXSB,1997-09-22,0.06667
NASDAQ,JXSB,1997-06-23,0.06667
NASDAQ,JXSB,1997-03-21,0.06667
NASDAQ,JXSB,1996-12-20,0.06667
NASDAQ,JXSB,1996-09-23,0.06667
NASDAQ,JXSB,1996-06-24,0.06667
NASDAQ,JXSB,1996-03-25,0.06667
NASDAQ,JXSB,1995-12-22,0.06667
NASDAQ,JXSB,1995-10-04,0.06667
NASDAQ,JXSB,1995-06-26,0.06667
NASDAQ,JFBI,2009-11-05,0.03
NASDAQ,JFBI,2009-06-30,0.06
NASDAQ,JFBI,2009-03-27,0.06
NASDAQ,JFBI,2008-12-29,0.06
NASDAQ,JFBI,2008-09-26,0.06
NASDAQ,JFBI,2008-06-26,0.06
NASDAQ,JFBI,2008-03-27,0.06
NASDAQ,JFBI,2007-12-27,0.06
NASDAQ,JFBI,2007-09-26,0.06
NASDAQ,JFBI,2007-06-27,0.06
NASDAQ,JFBI,2007-03-28,0.06
NASDAQ,JFBI,2006-12-27,0.06
NASDAQ,JFBI,2006-09-27,0.06
NASDAQ,JFBI,2006-06-28,0.085
NASDAQ,JFBI,2006-03-29,0.06
NASDAQ,JFBI,2005-12-28,0.06
NASDAQ,JFBI,2005-09-28,0.06
NASDAQ,JFBI,2005-06-28,0.1
NASDAQ,JFBI,2005-03-29,0.05
NASDAQ,JFBI,2004-12-29,0.05
NASDAQ,JFBI,2004-09-28,0.05
NASDAQ,JFBI,2004-06-28,0.09
NASDAQ,JFBI,2004-03-29,0.04
NASDAQ,JFBI,2003-12-29,0.04
NASDAQ,JFBI,2003-09-26,0.04
NASDAQ,JFBC,2009-11-18,0.13
NASDAQ,JFBC,2009-08-19,0.13
NASDAQ,JFBC,2009-05-20,0.13
NASDAQ,JFBC,2009-02-18,0.13
NASDAQ,JFBC,2008-11-18,0.13
NASDAQ,JFBC,2008-08-20,0.13
NASDAQ,JFBC,2008-05-21,0.13
NASDAQ,JFBC,2008-02-15,0.13
NASDAQ,JFBC,2007-11-19,0.14
NASDAQ,JFBC,2007-08-20,0.12
NASDAQ,JFBC,2007-05-15,0.12
NASDAQ,JFBC,2007-02-15,0.12
NASDAQ,JFBC,2006-11-20,0.15
NASDAQ,JFBC,2006-08-15,0.11
NASDAQ,JFBC,2006-05-12,0.11
NASDAQ,JFBC,2006-02-16,0.11
