exchange,stock_symbol,date,dividends
NASDAQ,KMGB,2009-12-17,0.02
NASDAQ,KMGB,2009-09-01,0.02
NASDAQ,KMGB,2009-06-08,0.02
NASDAQ,KMGB,2009-03-06,0.02
NASDAQ,KMGB,2008-12-12,0.02
NASDAQ,KMGB,2008-09-10,0.02
NASDAQ,KMGB,2008-06-11,0.02
NASDAQ,KMGB,2008-03-12,0.02
NASDAQ,KMGB,2007-11-30,0.02
NASDAQ,KMGB,2007-08-29,0.02
NASDAQ,KMGB,2007-02-27,0.038
NASDAQ,KMGB,2006-08-29,0.038
NASDAQ,KMGB,2006-02-27,0.038
NASDAQ,KMGB,2005-08-29,0.038
NASDAQ,KMGB,2005-02-24,0.035
NASDAQ,KMGB,2004-08-31,0.035
NASDAQ,KMGB,2004-03-11,0.03
NASDAQ,KMGB,2003-09-03,0.03
NASDAQ,KMGB,2003-03-12,0.03
NASDAQ,KMGB,2002-09-11,0.023
NASDAQ,KMGB,2002-03-13,0.023
NASDAQ,KMGB,2001-03-30,0.02
NASDAQ,KMGB,2000-09-13,0.01818
NASDAQ,KMGB,2000-03-08,0.01818
NASDAQ,KMGB,1999-09-13,0.00455
NASDAQ,KMGB,1999-03-02,0.00455
NASDAQ,KMGB,1998-08-12,0.00455
NASDAQ,KMGB,1997-09-11,0.00455
NASDAQ,KLAC,2009-11-12,0.15
NASDAQ,KLAC,2009-08-13,0.15
NASDAQ,KLAC,2009-05-13,0.15
NASDAQ,KLAC,2009-02-26,0.15
NASDAQ,KLAC,2008-11-20,0.15
NASDAQ,KLAC,2008-08-14,0.15
NASDAQ,KLAC,2008-05-15,0.15
NASDAQ,KLAC,2008-02-21,0.15
NASDAQ,KLAC,2007-11-15,0.15
NASDAQ,KLAC,2007-08-16,0.15
NASDAQ,KLAC,2007-05-11,0.12
NASDAQ,KLAC,2007-02-13,0.12
NASDAQ,KLAC,2006-11-13,0.12
NASDAQ,KLAC,2006-08-11,0.12
NASDAQ,KLAC,2006-05-11,0.12
NASDAQ,KLAC,2006-02-13,0.12
NASDAQ,KLAC,2005-11-10,0.12
NASDAQ,KLAC,2005-08-11,0.12
NASDAQ,KLAC,2005-04-28,0.12
NASDAQ,KOSS,2009-12-29,0.06
NASDAQ,KOSS,2009-09-28,0.065
NASDAQ,KOSS,2009-06-26,0.065
NASDAQ,KOSS,2009-03-27,0.065
NASDAQ,KOSS,2008-12-29,0.065
NASDAQ,KOSS,2008-09-26,0.065
NASDAQ,KOSS,2008-06-26,0.065
NASDAQ,KOSS,2008-03-27,0.065
NASDAQ,KOSS,2007-12-27,0.065
NASDAQ,KOSS,2007-11-14,0.5
NASDAQ,KOSS,2007-09-26,0.065
NASDAQ,KOSS,2007-06-27,0.065
NASDAQ,KOSS,2007-03-28,0.065
NASDAQ,KOSS,2006-12-27,0.065
NASDAQ,KOSS,2006-09-27,0.065
NASDAQ,KOSS,2006-06-28,0.565
NASDAQ,KOSS,2006-03-29,0.065
NASDAQ,KOSS,2005-12-28,0.065
NASDAQ,KOSS,2005-09-28,0.065
NASDAQ,KOSS,2005-06-28,0.065
NASDAQ,KOSS,2005-03-29,0.065
NASDAQ,KOSS,2004-12-29,0.065
NASDAQ,KOSS,2004-09-28,0.065
NASDAQ,KOSS,2004-07-15,0.065
NASDAQ,KOSS,2004-03-29,0.065
NASDAQ,KOSS,2003-12-29,0.065
NASDAQ,KOSS,2003-10-01,0.065
NASDAQ,KOSS,2003-07-16,0.065
NASDAQ,KOSS,2003-04-07,0.065
