exchange,stock_symbol,date,dividends
NASDAQ,LLTC,2009-11-10,0.22
NASDAQ,LLTC,2009-08-12,0.22
NASDAQ,LLTC,2009-05-13,0.22
NASDAQ,LLTC,2009-02-11,0.22
NASDAQ,LLTC,2008-11-12,0.21
NASDAQ,LLTC,2008-08-13,0.21
NASDAQ,LLTC,2008-05-14,0.21
NASDAQ,LLTC,2008-02-13,0.21
NASDAQ,LLTC,2007-11-14,0.18
NASDAQ,LLTC,2007-08-08,0.18
NASDAQ,LLTC,2007-04-25,0.18
NASDAQ,LLTC,2007-01-24,0.18
NASDAQ,LLTC,2006-10-25,0.15
NASDAQ,LLTC,2006-08-02,0.15
NASDAQ,LLTC,2006-04-26,0.15
NASDAQ,LLTC,2006-01-25,0.15
NASDAQ,LLTC,2005-10-26,0.1
NASDAQ,LLTC,2005-08-03,0.1
NASDAQ,LLTC,2005-04-27,0.1
NASDAQ,LLTC,2005-01-26,0.1
NASDAQ,LLTC,2004-10-20,0.08
NASDAQ,LLTC,2004-07-28,0.08
NASDAQ,LLTC,2004-04-21,0.08
NASDAQ,LLTC,2004-01-21,0.08
NASDAQ,LLTC,2003-10-22,0.06
NASDAQ,LLTC,2003-07-30,0.06
NASDAQ,LLTC,2003-04-23,0.06
NASDAQ,LLTC,2003-01-22,0.05
NASDAQ,LLTC,2002-10-23,0.05
NASDAQ,LLTC,2002-07-31,0.05
NASDAQ,LLTC,2002-04-24,0.05
NASDAQ,LLTC,2002-01-23,0.04
NASDAQ,LLTC,2001-10-24,0.04
NASDAQ,LLTC,2001-08-01,0.04
NASDAQ,LLTC,2001-04-25,0.04
NASDAQ,LLTC,2001-01-24,0.03
NASDAQ,LLTC,2000-10-25,0.03
NASDAQ,LLTC,2000-08-02,0.03
NASDAQ,LLTC,2000-04-26,0.03
NASDAQ,LLTC,2000-01-26,0.02
NASDAQ,LLTC,1999-10-20,0.02
NASDAQ,LLTC,1999-07-28,0.02
NASDAQ,LLTC,1999-04-21,0.02
NASDAQ,LLTC,1999-01-20,0.0175
NASDAQ,LLTC,1998-10-21,0.0175
NASDAQ,LLTC,1998-07-29,0.0175
NASDAQ,LLTC,1998-04-22,0.015
NASDAQ,LLTC,1998-01-21,0.015
NASDAQ,LLTC,1997-10-22,0.015
NASDAQ,LLTC,1997-07-30,0.015
NASDAQ,LLTC,1997-04-23,0.0125
NASDAQ,LLTC,1997-01-22,0.0125
NASDAQ,LLTC,1996-10-23,0.0125
NASDAQ,LLTC,1996-07-31,0.0125
NASDAQ,LLTC,1996-04-24,0.01
NASDAQ,LLTC,1996-01-24,0.01
NASDAQ,LLTC,1995-10-25,0.01
NASDAQ,LLTC,1995-08-02,0.01
NASDAQ,LLTC,1995-04-24,0.00875
NASDAQ,LLTC,1995-01-23,0.00875
NASDAQ,LLTC,1994-10-24,0.00875
NASDAQ,LLTC,1994-08-01,0.0075
NASDAQ,LLTC,1994-04-25,0.0075
NASDAQ,LLTC,1994-01-24,0.0075
NASDAQ,LLTC,1993-10-18,0.0075
NASDAQ,LLTC,1993-08-06,0.00625
NASDAQ,LLTC,1993-04-19,0.00625
NASDAQ,LLTC,1993-01-25,0.00625
NASDAQ,LLTC,1992-11-19,0.00156
NASDAQ,LSTR,2010-02-03,0.045
NASDAQ,LSTR,2009-10-29,0.045
NASDAQ,LSTR,2009-08-06,0.045
NASDAQ,LSTR,2009-05-05,0.04
NASDAQ,LSTR,2009-02-04,0.04
NASDAQ,LSTR,2008-10-30,0.04
NASDAQ,LSTR,2008-08-07,0.04
NASDAQ,LSTR,2008-05-07,0.038
NASDAQ,LSTR,2008-02-06,0.038
NASDAQ,LSTR,2007-11-07,0.038
NASDAQ,LSTR,2007-08-08,0.038
