exchange,stock_symbol,date,dividends
NASDAQ,MATW,2010-01-28,0.07
NASDAQ,MATW,2009-10-29,0.07
NASDAQ,MATW,2009-07-31,0.065
NASDAQ,MATW,2009-04-30,0.065
NASDAQ,MATW,2009-01-29,0.065
NASDAQ,MATW,2008-10-29,0.065
NASDAQ,MATW,2008-07-31,0.06
NASDAQ,MATW,2008-05-01,0.06
NASDAQ,MATW,2008-01-31,0.06
NASDAQ,MATW,2007-10-29,0.06
NASDAQ,MATW,2007-07-27,0.055
NASDAQ,MATW,2007-04-26,0.055
NASDAQ,MATW,2007-01-29,0.055
NASDAQ,MATW,2006-10-27,0.055
NASDAQ,MATW,2006-07-27,0.05
NASDAQ,MATW,2006-05-03,0.05
NASDAQ,MATW,2006-01-27,0.05
NASDAQ,MATW,2005-10-27,0.05
NASDAQ,MATW,2005-07-27,0.045
NASDAQ,MATW,2005-04-27,0.045
NASDAQ,MATW,2005-01-27,0.045
NASDAQ,MATW,2004-10-27,0.045
NASDAQ,MATW,2004-07-28,0.04
NASDAQ,MATW,2004-04-28,0.04
NASDAQ,MATW,2004-01-28,0.04
NASDAQ,MATW,2003-10-29,0.04
NASDAQ,MATW,2003-07-29,0.028
NASDAQ,MATW,2003-04-30,0.028
NASDAQ,MATW,2003-01-29,0.028
NASDAQ,MATW,2002-10-29,0.028
NASDAQ,MATW,2002-07-29,0.026
NASDAQ,MATW,2002-04-26,0.026
NASDAQ,MATW,2002-01-23,0.026
NASDAQ,MATW,2001-10-29,0.026
NASDAQ,MATW,2001-07-27,0.025
NASDAQ,MATW,2001-04-26,0.025
NASDAQ,MATW,2001-01-25,0.025
NASDAQ,MATW,2000-10-27,0.025
NASDAQ,MATW,2000-07-27,0.024
NASDAQ,MATW,2000-04-26,0.024
NASDAQ,MATW,2000-01-26,0.024
NASDAQ,MATW,1999-10-27,0.024
NASDAQ,MATW,1999-07-28,0.0225
NASDAQ,MATW,1999-04-28,0.0225
NASDAQ,MATW,1999-01-27,0.0225
NASDAQ,MATW,1998-10-28,0.0225
NASDAQ,MATW,1998-07-29,0.021
NASDAQ,MATW,1998-04-29,0.02125
NASDAQ,MATW,1998-01-28,0.02125
NASDAQ,MATW,1997-10-29,0.02125
NASDAQ,MATW,1997-07-31,0.02
NASDAQ,MATW,1997-03-26,0.02
NASDAQ,MATW,1996-12-27,0.02
NASDAQ,MATW,1996-09-26,0.02
NASDAQ,MATW,1996-06-26,0.0175
NASDAQ,MATW,1996-03-27,0.0175
NASDAQ,MATW,1995-12-27,0.0175
NASDAQ,MATW,1995-09-27,0.0175
NASDAQ,MATW,1995-06-28,0.015
NASDAQ,MATW,1995-03-27,0.015
NASDAQ,MATW,1994-12-23,0.015
NASDAQ,MATW,1994-09-26,0.015
NASDAQ,MSFG,2009-12-02,0.01
NASDAQ,MSFG,2009-09-03,0.05
NASDAQ,MSFG,2009-06-03,0.05
NASDAQ,MSFG,2009-03-04,0.145
NASDAQ,MSFG,2008-12-03,0.145
NASDAQ,MSFG,2008-09-03,0.145
NASDAQ,MSFG,2008-06-04,0.145
NASDAQ,MSFG,2008-03-06,0.14
NASDAQ,MSFG,2007-11-30,0.14
NASDAQ,MSFG,2007-08-30,0.14
NASDAQ,MSFG,2007-06-01,0.14
NASDAQ,MSFG,2007-02-27,0.135
NASDAQ,MSFG,2006-12-01,0.13333
NASDAQ,MSFG,2006-08-31,0.13333
NASDAQ,MSFG,2006-05-18,0.13333
NASDAQ,MSFG,2006-03-02,0.12857
NASDAQ,MSFG,2005-11-29,0.12381
NASDAQ,MSFG,2005-08-30,0.12381
NASDAQ,MSFG,2005-05-27,0.12381
NASDAQ,MSFG,2005-03-02,0.12381
NASDAQ,MSFG,2004-12-29,0.0
NASDAQ,MSFG,2004-11-29,0.11791
NASDAQ,MSFG,2004-08-30,0.11338
NASDAQ,MSFG,2004-05-27,0.11338
NASDAQ,MSFG,2004-03-04,0.10885
NASDAQ,MSFG,2003-12-18,0.0
NASDAQ,MSFG,2003-11-26,0.10367
NASDAQ,MSFG,2003-08-27,0.10367
NASDAQ,MSFG,2003-05-29,0.10367
NASDAQ,MSFG,2003-02-26,0.10367
NASDAQ,MSFG,2002-12-02,0.09873
NASDAQ,MSFG,2002-08-28,0.09324
NASDAQ,MSFG,2002-05-29,0.09324
NASDAQ,MSFG,2002-03-06,0.09324
NASDAQ,MSFG,2001-12-27,0.08941
NASDAQ,MSFG,2001-11-29,0.0888
NASDAQ,MSFG,2001-08-30,0.08619
NASDAQ,MSFG,2001-05-30,0.08619
NASDAQ,MSFG,2001-02-27,0.08619
NASDAQ,MSFG,2000-12-27,0.08253
NASDAQ,MSFG,2000-11-29,0.08208
NASDAQ,MSFG,2000-08-30,0.08208
NASDAQ,MSFG,2000-05-30,0.08208
NASDAQ,MSFG,2000-02-28,0.07959
NASDAQ,MSFG,1999-12-08,0.07959
NASDAQ,MSFG,1999-09-08,0.07959
NASDAQ,MSFG,1999-06-09,0.07959
NASDAQ,MSFG,1999-03-05,0.07959
NASDAQ,MSFG,1998-12-09,0.0771
NASDAQ,MSFG,1998-09-14,0.07213
NASDAQ,MSFG,1998-06-15,0.07213
NASDAQ,MSFG,1998-03-06,0.06964
NASDAQ,MSFG,1997-12-15,0.06716
NASDAQ,MSFG,1997-09-05,0.06467
NASDAQ,MSFG,1997-06-06,0.06219
NASDAQ,MSFG,1997-03-06,0.05721
NASDAQ,MSFG,1996-12-06,0.05472
NASDAQ,MSFG,1996-09-06,0.05224
NASDAQ,MSFG,1996-06-06,0.04975
NASDAQ,MSFG,1996-03-07,0.04229
NASDAQ,MSFG,1995-12-07,0.04229
NASDAQ,MSFG,1995-09-07,0.04229
NASDAQ,MSFG,1995-06-06,0.03979
NASDAQ,MSFG,1995-03-06,0.03608
NASDAQ,MSFG,1994-12-14,0.03608
NASDAQ,MSFG,1994-12-05,0.03979
NASDAQ,MSFG,1994-09-02,0.03483
NASDAQ,MSFG,1994-06-06,0.03483
NASDAQ,MSFG,1994-03-07,0.02985
NASDAQ,MSFG,1993-12-06,0.02985
NASDAQ,MSFG,1993-09-03,0.02985
NASDAQ,MSFG,1993-06-07,0.02985
NASDAQ,MSFG,1993-03-03,0.02985
NASDAQ,MSFG,1992-12-07,0.02985
NASDAQ,MSFG,1992-09-04,0.02487
NASDAQ,MSFG,1992-06-04,0.02487
NASDAQ,MSFG,1992-03-04,0.02487
NASDAQ,MAIL,2009-12-17,0.4
NASDAQ,MAIL,2009-07-09,0.5
NASDAQ,MATK,2008-09-26,0.001
NASDAQ,MKTX,2009-11-06,0.07
NASDAQ,MNRTP,2009-11-12,0.477
NASDAQ,MNRTP,2009-08-13,0.477
NASDAQ,MNRTP,2009-05-13,0.477
NASDAQ,MNRTP,2009-02-12,0.477
NASDAQ,MNRTP,2008-11-13,0.477
NASDAQ,MNRTP,2008-08-13,0.477
NASDAQ,MNRTP,2008-05-13,0.477
NASDAQ,MNRTP,2008-02-13,0.477
NASDAQ,MNRTP,2007-11-28,0.477
NASDAQ,MNRTP,2007-08-29,0.477
NASDAQ,MNRTP,2007-05-29,0.477
NASDAQ,MHLD,2009-12-30,0.065
NASDAQ,MHLD,2009-09-29,0.06
NASDAQ,MHLD,2009-06-29,0.06
NASDAQ,MHLD,2009-03-30,0.06
