exchange,stock_symbol,date,dividends
NASDAQ,NCMI,2009-11-17,0.16
NASDAQ,NCMI,2009-08-18,0.16
NASDAQ,NCMI,2009-05-19,0.16
NASDAQ,NCMI,2009-03-17,0.16
NASDAQ,NCMI,2008-11-18,0.16
NASDAQ,NCMI,2008-08-19,0.16
NASDAQ,NCMI,2008-05-19,0.15
NASDAQ,NCMI,2008-03-10,0.15
NASDAQ,NCMI,2007-11-19,0.15
NASDAQ,NCMI,2007-08-21,0.15
NASDAQ,NNBR,2008-08-21,0.08
NASDAQ,NNBR,2008-06-11,0.08
NASDAQ,NNBR,2008-04-14,0.08
NASDAQ,NNBR,2007-12-12,0.08
NASDAQ,NNBR,2007-08-28,0.08
NASDAQ,NNBR,2007-06-04,0.08
NASDAQ,NNBR,2007-04-03,0.08
NASDAQ,NNBR,2006-11-20,0.08
NASDAQ,NNBR,2006-08-29,0.08
NASDAQ,NNBR,2006-06-07,0.08
NASDAQ,NNBR,2006-04-05,0.08
NASDAQ,NNBR,2005-12-07,0.08
NASDAQ,NNBR,2005-08-25,0.08
NASDAQ,NNBR,2005-06-09,0.08
NASDAQ,NNBR,2005-04-08,0.08
NASDAQ,NNBR,2004-11-24,0.08
NASDAQ,NNBR,2004-08-24,0.08
NASDAQ,NNBR,2004-06-03,0.08
NASDAQ,NNBR,2004-04-05,0.08
NASDAQ,NNBR,2003-11-21,0.08
NASDAQ,NNBR,2003-08-27,0.08
NASDAQ,NNBR,2003-06-04,0.08
NASDAQ,NNBR,2003-03-26,0.08
NASDAQ,NNBR,2002-11-13,0.08
NASDAQ,NNBR,2002-09-05,0.08
NASDAQ,NNBR,2002-06-05,0.08
NASDAQ,NNBR,2002-03-13,0.08
NASDAQ,NNBR,2001-11-15,0.08
NASDAQ,NNBR,2001-08-15,0.08
NASDAQ,NNBR,2001-06-06,0.08
NASDAQ,NNBR,2001-03-21,0.08
NASDAQ,NNBR,2000-11-15,0.08
NASDAQ,NNBR,2000-08-16,0.08
NASDAQ,NNBR,2000-05-25,0.08
NASDAQ,NNBR,2000-03-15,0.08
NASDAQ,NNBR,1999-11-10,0.08
NASDAQ,NNBR,1999-08-11,0.08
NASDAQ,NNBR,1999-05-27,0.08
NASDAQ,NNBR,1999-03-18,0.08
NASDAQ,NNBR,1998-11-20,0.08
NASDAQ,NNBR,1998-08-12,0.08
NASDAQ,NNBR,1998-05-20,0.08
NASDAQ,NNBR,1998-03-06,0.08
NASDAQ,NNBR,1997-11-10,0.08
NASDAQ,NNBR,1997-08-12,0.08
NASDAQ,NNBR,1997-05-15,0.08
NASDAQ,NNBR,1997-02-20,0.08
NASDAQ,NNBR,1996-12-05,0.08
NASDAQ,NNBR,1996-08-13,0.08
NASDAQ,NNBR,1996-05-16,0.08
NASDAQ,NNBR,1996-02-22,0.08
NASDAQ,NNBR,1995-08-30,0.05333
NASDAQ,NNBR,1995-05-16,0.05333
NASDAQ,NNBR,1995-02-14,0.03555
NASDAQ,NNBR,1994-10-25,0.03555
NASDAQ,NNBR,1994-08-01,0.03555
NASDAQ,NAFC,2009-11-18,0.18
NASDAQ,NAFC,2009-08-19,0.18
NASDAQ,NAFC,2009-05-20,0.18
NASDAQ,NAFC,2009-03-18,0.18
NASDAQ,NAFC,2008-11-19,0.18
NASDAQ,NAFC,2008-08-20,0.18
NASDAQ,NAFC,2008-05-14,0.18
NASDAQ,NAFC,2008-03-05,0.18
NASDAQ,NAFC,2007-11-20,0.18
NASDAQ,NAFC,2007-08-22,0.18
NASDAQ,NAFC,2007-05-16,0.18
NASDAQ,NAFC,2007-03-14,0.18
NASDAQ,NAFC,2006-11-15,0.18
NASDAQ,NAFC,2006-08-16,0.18
NASDAQ,NAFC,2006-05-17,0.18
NASDAQ,NAFC,2006-03-01,0.18
NASDAQ,NAFC,2005-11-16,0.18
NASDAQ,NAFC,2005-08-17,0.18
NASDAQ,NAFC,2005-05-25,0.18
NASDAQ,NAFC,2005-03-02,0.135
NASDAQ,NAFC,2004-11-17,0.135
NASDAQ,NAFC,2004-08-18,0.135
NASDAQ,NAFC,2004-05-26,0.135
NASDAQ,NAFC,2004-03-03,0.135
NASDAQ,NAFC,2003-11-19,0.09
NASDAQ,NAFC,2003-08-20,0.09
NASDAQ,NAFC,2003-05-21,0.09
NASDAQ,NAFC,2003-04-03,0.09
NASDAQ,NSEC,2010-02-04,0.15
NASDAQ,NSEC,2009-11-05,0.15
NASDAQ,NSEC,2009-08-06,0.15
NASDAQ,NSEC,2009-05-07,0.15
NASDAQ,NSEC,2009-01-29,0.15
NASDAQ,NSEC,2008-11-06,0.225
NASDAQ,NSEC,2008-08-07,0.225
NASDAQ,NSEC,2008-05-08,0.225
NASDAQ,NSEC,2008-01-31,0.225
NASDAQ,NSEC,2007-11-07,0.225
