exchange,stock_symbol,date,dividends
NASDAQ,ONFC,2010-01-27,0.24
NASDAQ,ONFC,2009-07-24,0.24
NASDAQ,ONFC,2009-01-23,0.24
NASDAQ,ONFC,2008-07-25,0.24
NASDAQ,ONFC,2008-01-25,0.24
NASDAQ,ONFC,2007-07-20,0.24
NASDAQ,ONFC,2007-01-19,0.24
NASDAQ,ONFC,2006-07-21,0.23
NASDAQ,ONFC,2006-01-20,0.22
NASDAQ,ONFC,2005-07-22,0.21
NASDAQ,ONFC,2005-01-21,0.2
NASDAQ,ONFC,2004-07-23,0.19
NASDAQ,ONFC,2004-01-23,0.18667
NASDAQ,ONFC,2003-07-25,0.18667
NASDAQ,ONFC,2003-01-24,0.18
NASDAQ,ONFC,2002-07-12,0.17333
NASDAQ,ONFC,2002-01-17,0.16889
NASDAQ,ONFC,2001-08-03,0.16
NASDAQ,ONFC,2001-01-19,0.08
NASDAQ,ONFC,2000-07-21,0.07555
NASDAQ,ONFC,2000-01-21,0.03555
NASDAQ,ONFC,1999-07-23,0.03333
NASDAQ,ONAV,2009-02-20,0.5
NASDAQ,ONAV,2008-11-13,0.5
NASDAQ,ONAV,2008-08-14,0.5
NASDAQ,ONAV,2008-05-16,0.5
NASDAQ,ONAV,2008-02-19,0.5
NASDAQ,ONAV,2007-11-13,0.5
NASDAQ,ONAV,2007-08-15,0.5
NASDAQ,ONAV,2007-05-17,0.5
NASDAQ,ONAV,2007-02-13,0.5
NASDAQ,ONAV,2006-11-13,0.5
NASDAQ,OKSBP,2009-11-25,0.656
NASDAQ,OKSBP,2009-09-01,0.656
NASDAQ,OKSBP,2009-06-19,0.656
NASDAQ,OKSBP,2009-03-11,0.656
NASDAQ,OKSBP,2008-12-11,0.656
NASDAQ,OKSBP,2008-09-03,0.532
NASDAQ,ORRF,2009-11-10,0.22
NASDAQ,ORRF,2009-08-12,0.22
NASDAQ,ORRF,2009-05-13,0.22
NASDAQ,ORRF,2009-02-11,0.22
NASDAQ,ORRF,2008-11-05,0.22
NASDAQ,ORRF,2008-08-06,0.22
NASDAQ,ORRF,2008-05-07,0.22
NASDAQ,ORRF,2008-02-06,0.21
NASDAQ,ORRF,2007-11-01,0.21
NASDAQ,ORRF,2007-08-08,0.21
NASDAQ,ORRF,2007-05-09,0.2
NASDAQ,ORRF,2007-02-07,0.2
NASDAQ,ORRF,2006-11-06,0.19048
NASDAQ,ORRF,2006-08-07,0.19048
NASDAQ,ORRF,2006-05-08,0.19048
NASDAQ,ORRF,2006-02-06,0.17143
NASDAQ,ORRF,2005-12-08,0.15238
NASDAQ,ORRF,2005-10-04,0.14286
NASDAQ,ORRF,2005-07-05,0.13333
NASDAQ,ORRF,2005-04-01,0.12698
NASDAQ,ORRF,2005-01-06,0.11791
NASDAQ,ORRF,2004-09-30,0.11791
NASDAQ,ORRF,2004-06-30,0.10885
NASDAQ,ORRF,2003-12-29,0.1043
NASDAQ,ORRF,2003-10-02,0.09524
NASDAQ,ORRF,2003-07-01,0.09524
NASDAQ,ORRF,2003-03-31,0.08638
NASDAQ,ORRF,2002-12-31,0.08638
NASDAQ,ORRF,2002-10-02,0.07774
NASDAQ,ORRF,2002-07-05,0.07343
NASDAQ,ORRF,2002-04-02,0.07343
NASDAQ,ORRF,2001-12-28,0.0691
NASDAQ,ORRF,2001-10-03,0.06479
NASDAQ,ORRF,2001-07-02,0.0617
NASDAQ,ORRF,2001-03-29,0.0617
NASDAQ,ORRF,1999-12-29,0.05759
NASDAQ,ORCT,2000-07-03,28.125
NASDAQ,OICO,2009-11-06,0.05
NASDAQ,OICO,2009-08-12,0.05
NASDAQ,OICO,2009-05-12,0.05
NASDAQ,OICO,2009-02-10,0.05
NASDAQ,OICO,2008-11-06,0.05
NASDAQ,OICO,2008-08-12,0.05
NASDAQ,OICO,2008-05-12,0.05
NASDAQ,OICO,2008-02-12,0.05
NASDAQ,OICO,2007-11-13,0.05
NASDAQ,OICO,2007-08-24,0.05
NASDAQ,OICO,2007-05-14,0.05
NASDAQ,OICO,2007-02-07,0.05
NASDAQ,OICO,2006-11-22,0.05
NASDAQ,OICO,2006-08-24,0.05
NASDAQ,OICO,2006-07-05,0.05
NASDAQ,OICO,2006-04-05,0.05
NASDAQ,OPWV,2007-06-13,1.2
NASDAQ,OZRK,2010-01-14,0.14
NASDAQ,OZRK,2009-10-28,0.13
NASDAQ,OZRK,2009-07-29,0.13
NASDAQ,OZRK,2009-04-29,0.13
NASDAQ,OZRK,2009-01-28,0.13
NASDAQ,OZRK,2008-10-22,0.13
NASDAQ,OZRK,2008-07-23,0.13
NASDAQ,OZRK,2008-04-23,0.12
NASDAQ,OZRK,2008-01-23,0.12
NASDAQ,OZRK,2007-10-24,0.12
NASDAQ,OZRK,2007-07-25,0.11
NASDAQ,OZRK,2007-04-25,0.1
NASDAQ,OZRK,2007-01-24,0.1
NASDAQ,OZRK,2006-10-25,0.1
NASDAQ,OZRK,2006-07-26,0.1
NASDAQ,OZRK,2006-04-26,0.1
NASDAQ,OZRK,2006-01-25,0.1
NASDAQ,OZRK,2005-10-26,0.1
NASDAQ,OZRK,2005-07-27,0.1
NASDAQ,OZRK,2005-04-27,0.09
NASDAQ,OZRK,2005-02-02,0.08
