exchange,stock_symbol,date,dividends
NASDAQ,PDLI,2009-11-27,1.67
NASDAQ,PDLI,2009-03-12,0.5
NASDAQ,PDLI,2008-12-19,2.6
NASDAQ,PDLI,2008-05-06,4.25
NASDAQ,PVFC,2008-11-13,0.003
NASDAQ,PVFC,2008-08-13,0.01
NASDAQ,PVFC,2008-05-01,0.074
NASDAQ,PVFC,2008-02-06,0.074
NASDAQ,PVFC,2007-11-07,0.074
NASDAQ,PVFC,2007-08-06,0.074
NASDAQ,PVFC,2007-04-26,0.074
NASDAQ,PVFC,2007-01-25,0.074
NASDAQ,PVFC,2006-10-19,0.074
NASDAQ,PVFC,2006-07-26,0.074
NASDAQ,PVFC,2006-04-26,0.074
NASDAQ,PVFC,2006-01-23,0.074
NASDAQ,PVFC,2005-10-21,0.074
NASDAQ,PVFC,2005-10-20,0.074
NASDAQ,PVFC,2005-07-29,0.06727
NASDAQ,PVFC,2005-04-21,0.06727
NASDAQ,PVFC,2005-01-19,0.06727
NASDAQ,PVFC,2004-10-21,0.06727
NASDAQ,PVFC,2004-07-29,0.06198
NASDAQ,PVFC,2004-04-29,0.06115
NASDAQ,PVFC,2004-01-21,0.06115
NASDAQ,PVFC,2003-10-22,0.06115
NASDAQ,PVFC,2003-08-13,0.0
NASDAQ,PVFC,2003-07-23,0.05559
NASDAQ,PVFC,2003-04-23,0.05559
NASDAQ,PVFC,2003-01-22,0.05559
NASDAQ,PVFC,2002-10-23,0.05559
NASDAQ,PVFC,2002-07-24,0.05054
NASDAQ,PVFC,2002-04-18,0.05054
NASDAQ,PVFC,2002-01-23,0.05054
NASDAQ,PVFC,2001-10-17,0.05054
NASDAQ,PVFC,2001-07-25,0.0447
NASDAQ,PVFC,2001-04-10,0.0447
NASDAQ,PVFC,2001-01-08,0.04346
NASDAQ,PVFC,2000-10-16,0.0447
NASDAQ,PVFC,2000-07-26,0.04516
NASDAQ,PVFC,2000-04-06,0.04516
NASDAQ,PVFC,2000-01-13,0.04516
NASDAQ,PVFC,1999-10-13,0.04516
NASDAQ,PVFC,1995-07-26,0.30064
NASDAQ,PAYX,2010-01-28,0.31
NASDAQ,PAYX,2009-10-29,0.31
NASDAQ,PAYX,2009-07-30,0.31
NASDAQ,PAYX,2009-04-29,0.31
NASDAQ,PAYX,2009-01-28,0.31
NASDAQ,PAYX,2008-10-29,0.31
NASDAQ,PAYX,2008-07-30,0.31
NASDAQ,PAYX,2008-04-29,0.3
NASDAQ,PAYX,2008-01-30,0.3
NASDAQ,PAYX,2007-10-30,0.3
NASDAQ,PAYX,2007-07-30,0.3
NASDAQ,PAYX,2007-04-27,0.21
NASDAQ,PAYX,2007-01-30,0.21
NASDAQ,PAYX,2006-10-30,0.21
NASDAQ,PAYX,2006-07-28,0.16
NASDAQ,PAYX,2006-04-27,0.16
NASDAQ,PAYX,2006-01-30,0.16
NASDAQ,PAYX,2005-10-28,0.16
NASDAQ,PAYX,2005-07-28,0.13
NASDAQ,PAYX,2005-04-28,0.13
NASDAQ,PAYX,2005-01-28,0.13
NASDAQ,PAYX,2004-10-28,0.13
NASDAQ,PAYX,2004-07-29,0.12
NASDAQ,PAYX,2004-04-29,0.12
NASDAQ,PAYX,2004-01-29,0.12
NASDAQ,PAYX,2003-10-30,0.12
NASDAQ,PAYX,2003-07-30,0.11
NASDAQ,PAYX,2003-04-29,0.11
NASDAQ,PAYX,2003-01-30,0.11
NASDAQ,PAYX,2002-10-30,0.11
NASDAQ,PAYX,2002-07-30,0.11
NASDAQ,PAYX,2002-04-29,0.11
NASDAQ,PAYX,2002-01-30,0.11
NASDAQ,PAYX,2001-10-30,0.11
NASDAQ,PAYX,2001-07-30,0.09
NASDAQ,PAYX,2001-04-27,0.09
NASDAQ,PAYX,2001-01-30,0.09
NASDAQ,PAYX,2000-10-30,0.09
NASDAQ,PAYX,2000-07-28,0.06
NASDAQ,PAYX,2000-04-27,0.06
NASDAQ,PAYX,2000-01-28,0.06
NASDAQ,PAYX,1999-10-28,0.06
NASDAQ,PAYX,1999-07-29,0.04
NASDAQ,PAYX,1999-04-29,0.04
NASDAQ,PAYX,1999-01-28,0.04
NASDAQ,PAYX,1998-10-29,0.04
NASDAQ,PAYX,1998-07-30,0.02667
NASDAQ,PAYX,1998-04-29,0.02667
NASDAQ,PAYX,1998-01-29,0.02667
NASDAQ,PAYX,1997-10-23,0.02667
NASDAQ,PAYX,1997-07-29,0.01778
NASDAQ,PAYX,1997-04-29,0.01778
NASDAQ,PAYX,1997-01-28,0.01778
NASDAQ,PAYX,1996-10-24,0.01778
NASDAQ,PAYX,1996-07-30,0.01185
NASDAQ,PAYX,1996-04-23,0.01185
NASDAQ,PAYX,1996-01-30,0.01185
NASDAQ,PAYX,1995-10-25,0.01185
NASDAQ,PAYX,1995-07-31,0.0079
NASDAQ,PAYX,1995-04-21,0.0079
NASDAQ,PAYX,1995-01-26,0.0079
NASDAQ,PAYX,1994-10-24,0.0079
NASDAQ,PAYX,1994-07-27,0.00527
NASDAQ,PAYX,1994-04-25,0.00527
NASDAQ,PAYX,1994-01-26,0.00527
NASDAQ,PAYX,1993-10-22,0.00527
NASDAQ,PAYX,1993-07-20,0.00351
NASDAQ,PAYX,1993-04-23,0.00351
NASDAQ,PAYX,1993-01-22,0.00351
