exchange,stock_symbol,date,dividends
NASDAQ,QABA,2009-12-22,0.15
NASDAQ,QUIX,2008-06-18,0.2
NASDAQ,QUIX,2007-11-28,0.2
NASDAQ,QUIX,2007-06-04,0.19
NASDAQ,QUIX,2006-11-28,0.19
NASDAQ,QUIX,2006-06-02,0.19
NASDAQ,QUIX,2005-12-27,0.18
NASDAQ,QUIX,2005-06-02,0.18
NASDAQ,QUIX,2004-11-24,0.18
NASDAQ,QUIX,2004-06-03,0.17
NASDAQ,QUIX,2003-12-03,0.17
NASDAQ,QUIX,2003-05-30,0.17
NASDAQ,QUIX,2002-12-04,0.16
NASDAQ,QUIX,2002-06-03,0.16
NASDAQ,QUIX,2001-12-03,0.16
NASDAQ,QUIX,2001-06-04,0.15
NASDAQ,QUIX,2000-12-04,0.15
NASDAQ,QUIX,2000-05-30,0.15
NASDAQ,QUIX,1999-12-06,0.14
NASDAQ,QUIX,1999-06-04,0.14
NASDAQ,QUIX,1998-12-02,0.14
NASDAQ,QUIX,1998-06-12,0.13
NASDAQ,QUIX,1997-12-03,0.13
NASDAQ,QUIX,1997-05-28,0.13
NASDAQ,QUIX,1996-11-27,0.12
NASDAQ,QUIX,1996-05-29,0.12
NASDAQ,QUIX,1995-11-29,0.12
NASDAQ,QUIX,1995-05-26,0.11
NASDAQ,QUIX,1994-11-25,0.11
NASDAQ,QUIX,1994-05-25,0.11
NASDAQ,QUIX,1993-11-24,0.1
NASDAQ,QUIX,1993-05-26,0.1
NASDAQ,QUIX,1992-11-24,0.1
NASDAQ,QCOM,2009-11-23,0.17
NASDAQ,QCOM,2009-08-26,0.17
NASDAQ,QCOM,2009-05-27,0.17
NASDAQ,QCOM,2009-02-25,0.16
NASDAQ,QCOM,2008-12-09,0.16
NASDAQ,QCOM,2008-08-27,0.16
NASDAQ,QCOM,2008-05-28,0.16
NASDAQ,QCOM,2008-02-27,0.14
NASDAQ,QCOM,2007-12-05,0.14
NASDAQ,QCOM,2007-08-29,0.14
NASDAQ,QCOM,2007-05-30,0.14
NASDAQ,QCOM,2007-02-28,0.12
NASDAQ,QCOM,2006-12-05,0.12
NASDAQ,QCOM,2006-08-23,0.12
NASDAQ,QCOM,2006-05-24,0.12
NASDAQ,QCOM,2006-02-22,0.09
NASDAQ,QCOM,2005-12-05,0.09
NASDAQ,QCOM,2005-08-24,0.09
NASDAQ,QCOM,2005-05-25,0.09
NASDAQ,QCOM,2005-02-23,0.07
NASDAQ,QCOM,2004-12-06,0.07
NASDAQ,QCOM,2004-08-25,0.07
NASDAQ,QCOM,2004-05-26,0.05
NASDAQ,QCOM,2004-02-25,0.035
NASDAQ,QCOM,2003-11-25,0.035
NASDAQ,QCOM,2003-08-27,0.035
NASDAQ,QCOM,2003-05-28,0.025
NASDAQ,QCOM,2003-03-12,0.025
NASDAQ,QCOM,1998-09-24,0.07031
NASDAQ,QELP,2008-11-04,0.4
NASDAQ,QELP,2008-07-31,0.43
NASDAQ,QELP,2008-05-01,0.41
NASDAQ,QELP,2008-02-05,0.204
NASDAQ,QQQX,2009-12-16,0.463
NASDAQ,QQQX,2009-09-18,0.463
NASDAQ,QQQX,2009-06-18,0.463
NASDAQ,QQQX,2009-03-20,0.463
NASDAQ,QQQX,2008-12-17,0.463
NASDAQ,QQQX,2008-09-18,0.463
NASDAQ,QQQX,2008-06-19,0.463
NASDAQ,QQQX,2008-03-19,0.463
NASDAQ,QQQX,2007-12-18,0.463
NASDAQ,QQQX,2007-09-19,0.463
NASDAQ,QQQX,2007-06-19,0.463
NASDAQ,QQQX,2007-03-20,0.304
NASDAQ,QCCO,2009-11-16,0.15
NASDAQ,QCCO,2009-08-14,0.05
NASDAQ,QCCO,2009-05-15,0.05
NASDAQ,QCCO,2009-02-19,0.05
NASDAQ,QCCO,2008-11-18,0.15
NASDAQ,QCCO,2008-08-18,0.1
NASDAQ,QCCO,2008-05-14,0.05
NASDAQ,QCCO,2007-12-14,2.5
NASDAQ,QCCO,2007-11-07,0.1
NASDAQ,QCCO,2007-08-13,0.1
NASDAQ,QCCO,2007-05-11,0.1
NASDAQ,QCCO,2007-01-29,0.1
NASDAQ,QADI,2009-11-27,0.025
NASDAQ,QADI,2009-08-26,0.025
NASDAQ,QADI,2009-05-29,0.025
NASDAQ,QADI,2009-03-05,0.025
NASDAQ,QADI,2008-11-20,0.025
NASDAQ,QADI,2008-08-21,0.025
NASDAQ,QADI,2008-05-29,0.025
NASDAQ,QADI,2008-03-13,0.025
NASDAQ,QADI,2007-11-21,0.025
NASDAQ,QADI,2007-08-23,0.025
NASDAQ,QADI,2007-05-17,0.025
NASDAQ,QADI,2007-03-15,0.025
NASDAQ,QADI,2006-11-22,0.025
NASDAQ,QADI,2006-08-17,0.025
NASDAQ,QADI,2006-05-18,0.025
NASDAQ,QADI,2006-03-02,0.025
NASDAQ,QADI,2005-11-17,0.025
NASDAQ,QADI,2005-08-18,0.025
NASDAQ,QADI,2005-05-26,0.025
NASDAQ,QADI,2005-03-10,0.025
NASDAQ,QADI,2004-11-18,0.025
NASDAQ,QADI,2004-08-19,0.025
NASDAQ,QADI,2004-07-15,0.1
NASDAQ,QCRH,2009-12-17,0.04
NASDAQ,QCRH,2009-06-18,0.04
NASDAQ,QCRH,2008-12-18,0.04
NASDAQ,QCRH,2008-06-19,0.04
NASDAQ,QCRH,2007-12-19,0.04
NASDAQ,QCRH,2007-06-20,0.04
NASDAQ,QCRH,2006-12-20,0.04
NASDAQ,QCRH,2006-06-21,0.04
NASDAQ,QCRH,2005-12-21,0.04
NASDAQ,QCRH,2005-06-13,0.04
NASDAQ,QCRH,2004-12-21,0.04
NASDAQ,QCRH,2004-06-16,0.04
NASDAQ,QCRH,2003-12-11,0.04
NASDAQ,QCRH,2003-06-12,0.03333
NASDAQ,QCRH,2002-12-12,0.03333
NASDAQ,QCRH,2001-11-01,0.44733
NASDAQ,QQQQ,2009-12-18,0.078
NASDAQ,QQQQ,2009-09-18,0.041
NASDAQ,QQQQ,2009-06-19,0.044
NASDAQ,QQQQ,2009-03-20,0.049
NASDAQ,QQQQ,2008-12-19,0.043
NASDAQ,QQQQ,2008-09-19,0.028
