exchange,stock_symbol,date,dividends
NASDAQ,RRD,2010-01-20,0.26
NASDAQ,RRD,2009-11-09,0.26
NASDAQ,RRD,2009-08-04,0.26
NASDAQ,RRD,2009-04-14,0.26
NASDAQ,RRD,2009-01-21,0.26
NASDAQ,RRD,2008-11-10,0.26
NASDAQ,RRD,2008-08-05,0.26
NASDAQ,RRD,2008-04-15,0.26
NASDAQ,RRD,2008-01-23,0.26
NASDAQ,RRD,2007-11-06,0.26
NASDAQ,RRD,2007-08-07,0.26
NASDAQ,RRD,2007-05-09,0.26
NASDAQ,RRD,2007-01-24,0.26
NASDAQ,RRD,2006-11-08,0.26
NASDAQ,RRD,2006-08-08,0.26
NASDAQ,RRD,2006-05-08,0.26
NASDAQ,RRD,2006-02-08,0.26
NASDAQ,RRD,2005-11-08,0.26
NASDAQ,RRD,2005-08-08,0.26
NASDAQ,RRD,2005-05-06,0.26
NASDAQ,RRD,2005-02-08,0.26
NASDAQ,RRD,2004-11-04,0.26
NASDAQ,RRD,2004-08-05,0.26
NASDAQ,RRD,2004-05-06,0.26
NASDAQ,RRD,2004-02-02,0.26
NASDAQ,RRD,2003-11-05,0.26
NASDAQ,RRD,2003-08-06,0.26
NASDAQ,RRD,2003-05-07,0.25
NASDAQ,RRD,2003-02-03,0.25
NASDAQ,RRD,2002-11-06,0.25
NASDAQ,RRD,2002-08-08,0.25
NASDAQ,RRD,2002-05-08,0.25
NASDAQ,RRD,2002-02-04,0.24
NASDAQ,RRD,2001-11-07,0.25
NASDAQ,RRD,2001-08-08,0.24
NASDAQ,RRD,2001-05-09,0.23
NASDAQ,RRD,2001-02-05,0.23
NASDAQ,RRD,2000-11-08,0.23
NASDAQ,RRD,2000-08-09,0.23
NASDAQ,RRD,2000-05-10,0.22
NASDAQ,RRD,2000-02-04,0.22
NASDAQ,RRD,1999-11-04,0.22
NASDAQ,RRD,1999-08-05,0.22
NASDAQ,RRD,1999-05-06,0.21
NASDAQ,RRD,1999-02-05,0.21
NASDAQ,RRD,1998-11-05,0.21
NASDAQ,RRD,1998-08-06,0.21
NASDAQ,RRD,1998-05-07,0.2
NASDAQ,RRD,1998-02-02,0.2
NASDAQ,RRD,1997-11-05,0.2
NASDAQ,RRD,1997-08-06,0.2
NASDAQ,RRD,1997-05-07,0.19
NASDAQ,RRD,1997-01-30,0.19
NASDAQ,RRD,1996-11-06,0.19
NASDAQ,RRD,1996-08-07,0.19
NASDAQ,RRD,1996-05-08,0.18
NASDAQ,RRD,1996-02-01,0.18
NASDAQ,RRD,1995-11-08,0.18
NASDAQ,RRD,1995-08-09,0.18
NASDAQ,RRD,1995-05-08,0.135
NASDAQ,RRD,1995-01-31,0.16
NASDAQ,RRD,1994-11-04,0.135
NASDAQ,RRD,1994-08-08,0.16
NASDAQ,RRD,1994-05-05,0.14
NASDAQ,RRD,1994-02-01,0.14
NASDAQ,RRD,1993-11-04,0.14
NASDAQ,RRD,1993-08-05,0.14
NASDAQ,RRD,1993-05-06,0.13
NASDAQ,RRD,1993-02-02,0.13
NASDAQ,RRD,1992-11-02,0.13
NASDAQ,RRD,1992-08-03,0.13
NASDAQ,RRD,1992-05-04,0.125
NASDAQ,RRD,1992-02-04,0.125
NASDAQ,RRD,1991-11-04,0.125
NASDAQ,RRD,1991-08-05,0.125
NASDAQ,RRD,1991-05-06,0.125
NASDAQ,RRD,1991-02-05,0.125
NASDAQ,RRD,1990-11-05,0.12
NASDAQ,RRD,1990-08-06,0.12
NASDAQ,RRD,1990-05-07,0.12
NASDAQ,RRD,1990-01-30,0.12
NASDAQ,RRD,1989-11-06,0.11
NASDAQ,RRD,1989-08-07,0.11
NASDAQ,RRD,1989-05-08,0.11
NASDAQ,RRD,1989-01-31,0.11
NASDAQ,RRD,1988-11-04,0.0975
NASDAQ,RRD,1988-08-08,0.0975
NASDAQ,RRD,1988-05-09,0.0975
NASDAQ,RRD,1988-02-02,0.0975
NASDAQ,RRD,1987-11-02,0.0875
NASDAQ,RRD,1987-08-03,0.0875
NASDAQ,RRD,1987-05-04,0.0875
NASDAQ,RRD,1987-02-03,0.0875
NASDAQ,RRD,1986-11-03,0.08
NASDAQ,RRD,1986-08-04,0.08
NASDAQ,RRD,1986-05-05,0.08
NASDAQ,RRD,1986-02-04,0.08
NASDAQ,RRD,1985-11-04,0.0725
NASDAQ,RRD,1985-08-05,0.0725
NASDAQ,ROAC,2005-11-23,0.025
NASDAQ,ROAC,2005-08-22,0.025
NASDAQ,ROAC,2005-05-24,0.025
NASDAQ,ROAC,2005-02-16,0.025
NASDAQ,ROAC,2004-11-10,0.02
NASDAQ,ROAC,2004-08-12,0.02
NASDAQ,ROAC,2004-05-12,0.02
NASDAQ,ROAC,2004-02-26,0.02
NASDAQ,ROAC,2003-11-13,0.01
NASDAQ,ROAC,2003-08-13,0.01
NASDAQ,ROAC,2003-05-13,0.01
NASDAQ,ROAC,2003-02-26,0.01
NASDAQ,RVSB,2008-09-26,0.045
NASDAQ,RVSB,2008-06-25,0.09
NASDAQ,RVSB,2008-03-27,0.09
NASDAQ,RVSB,2007-12-27,0.11
NASDAQ,RVSB,2007-09-26,0.11
NASDAQ,RVSB,2007-06-27,0.11
NASDAQ,RVSB,2007-03-28,0.1
NASDAQ,RVSB,2006-12-28,0.1
NASDAQ,RVSB,2006-12-27,0.1
NASDAQ,RVSB,2006-09-27,0.1
NASDAQ,RVSB,2006-06-28,0.095
NASDAQ,RVSB,2006-03-29,0.085
NASDAQ,RVSB,2005-12-28,0.085
NASDAQ,RVSB,2005-09-28,0.085
NASDAQ,RVSB,2005-06-28,0.085
NASDAQ,RVSB,2005-03-29,0.0775
NASDAQ,RVSB,2004-12-29,0.0775
NASDAQ,RVSB,2004-09-28,0.0775
NASDAQ,RVSB,2004-06-28,0.0775
NASDAQ,RVSB,2004-03-29,0.07
NASDAQ,RVSB,2003-12-29,0.07
NASDAQ,RVSB,2003-09-26,0.07
NASDAQ,RVSB,2003-06-26,0.07
NASDAQ,RVSB,2003-03-27,0.0625
NASDAQ,RVSB,2002-12-27,0.0625
NASDAQ,RVSB,2002-09-26,0.0625
NASDAQ,RVSB,2002-06-26,0.0625
NASDAQ,RVSB,2002-03-26,0.055
NASDAQ,RVSB,2001-12-27,0.055
NASDAQ,RVSB,2001-09-26,0.055
NASDAQ,RVSB,2001-06-27,0.055
NASDAQ,RVSB,2001-03-28,0.05
NASDAQ,RVSB,2000-12-27,0.05
NASDAQ,RVSB,2000-09-27,0.05
NASDAQ,RVSB,2000-06-28,0.05
NASDAQ,RVSB,2000-03-29,0.045
NASDAQ,RVSB,1999-12-29,0.045
NASDAQ,RVSB,1999-09-28,0.045
NASDAQ,RVSB,1999-06-28,0.03
NASDAQ,RVSB,1999-03-29,0.03
NASDAQ,RVSB,1998-12-29,0.03
NASDAQ,RVSB,1998-09-28,0.03
NASDAQ,RVSB,1998-06-26,0.03
NASDAQ,RVSB,1997-07-02,0.0069
NASDAQ,RVSB,1997-03-26,0.0069
NASDAQ,RVSB,1996-12-27,0.00986
NASDAQ,RVSB,1996-06-26,0.00986
NASDAQ,RVSB,1996-03-27,0.00806
NASDAQ,RVSB,1995-12-27,0.00806
NASDAQ,RVSB,1995-09-27,0.00806
NASDAQ,RVSB,1995-06-28,0.00806
NASDAQ,RVSB,1995-03-27,0.00806
NASDAQ,RVSB,1994-12-23,0.02241
NASDAQ,RVSB,1994-09-26,0.02241
NASDAQ,RVSB,1994-06-24,0.02241
NASDAQ,RVSB,1994-04-25,0.1165
NASDAQ,RELL,2010-02-08,0.02
NASDAQ,RELL,2009-11-04,0.02
NASDAQ,RELL,2009-08-05,0.02
NASDAQ,RELL,2009-05-06,0.02
NASDAQ,RELL,2009-02-09,0.02
NASDAQ,RELL,2008-11-05,0.02
NASDAQ,RELL,2008-07-24,0.02
