exchange,stock_symbol,date,dividends
NASDAQ,SMHG,2009-12-30,0.045
NASDAQ,SMHG,2009-09-29,0.045
NASDAQ,SMHG,2009-06-29,0.045
NASDAQ,SMHG,2009-03-31,0.045
NASDAQ,SMHG,2008-12-31,0.045
NASDAQ,SMHG,2008-09-29,0.045
NASDAQ,SMHG,2008-06-26,0.045
NASDAQ,SMHG,2008-03-31,0.045
NASDAQ,SMHG,2007-12-31,0.045
NASDAQ,SMHG,2007-10-01,0.045
NASDAQ,SMHG,2007-06-27,0.045
NASDAQ,SMHG,2007-03-30,0.045
NASDAQ,SMHG,2006-12-29,0.045
NASDAQ,SMHG,2006-09-29,0.045
NASDAQ,SMHG,2006-06-28,0.045
NASDAQ,SMHG,2006-03-29,0.045
NASDAQ,SMHG,2005-12-29,0.045
NASDAQ,SMHG,2005-09-29,0.045
NASDAQ,SMHG,2005-06-29,0.045
NASDAQ,SMHG,2005-03-30,0.045
NASDAQ,SMHG,2004-12-30,0.038
NASDAQ,SMHG,2004-09-29,0.038
NASDAQ,SMHG,2004-06-29,0.038
NASDAQ,SMHG,2004-03-30,0.038
NASDAQ,SMHG,2003-12-29,0.03
NASDAQ,SMHG,2003-09-29,0.03
NASDAQ,SMHG,2003-06-27,0.03
NASDAQ,SMHG,2003-03-28,0.03
NASDAQ,SMHG,2002-12-17,0.025
NASDAQ,SMHG,2002-09-24,0.025
NASDAQ,SMHG,2002-06-21,0.025
NASDAQ,SMHG,2002-03-21,0.025
NASDAQ,STBK,2007-08-08,0.02857
NASDAQ,STBK,2007-05-02,0.02857
NASDAQ,STBK,2007-02-01,0.02857
NASDAQ,STBK,2006-11-06,0.02857
NASDAQ,STBK,2006-08-09,0.02721
NASDAQ,STBK,2006-05-11,0.02721
NASDAQ,STBK,2006-02-08,0.02721
NASDAQ,STBK,2005-11-08,0.02721
NASDAQ,STBK,2005-08-15,0.02721
NASDAQ,STBK,2005-05-16,0.02721
NASDAQ,STBK,2005-02-09,0.02721
NASDAQ,STBK,2004-11-08,0.01814
NASDAQ,STBK,2004-08-10,0.01814
NASDAQ,STBK,2004-05-10,0.01728
NASDAQ,STBK,2004-02-10,0.01728
NASDAQ,STRZ,2008-05-02,0.6
NASDAQ,STRZ,2007-05-04,0.6
NASDAQ,STRZ,2006-05-09,0.85
NASDAQ,STRZ,2005-05-10,0.75
NASDAQ,STRZ,2004-05-05,0.5
NASDAQ,SEIC,2009-12-31,0.09
NASDAQ,SEIC,2009-06-16,0.08
NASDAQ,SEIC,2009-01-02,0.08
NASDAQ,SEIC,2008-06-13,0.08
NASDAQ,SEIC,2008-01-02,0.07
NASDAQ,SEIC,2007-06-06,0.07
NASDAQ,SEIC,2006-12-29,0.06
NASDAQ,SEIC,2006-06-06,0.06
NASDAQ,SEIC,2005-12-29,0.055
NASDAQ,SEIC,2005-06-06,0.055
NASDAQ,SEIC,2004-12-31,0.05
NASDAQ,SEIC,2004-06-04,0.05
NASDAQ,SEIC,2004-01-02,0.045
NASDAQ,SEIC,2003-06-05,0.035
NASDAQ,SEIC,2002-12-31,0.03
NASDAQ,SEIC,2002-05-23,0.03
NASDAQ,SEIC,2002-01-02,0.025
NASDAQ,SEIC,2001-06-08,0.025
NASDAQ,SEIC,2001-01-04,0.02
NASDAQ,SEIC,2000-06-01,0.02
NASDAQ,SEIC,2000-01-05,0.01666
NASDAQ,SEIC,1999-06-14,0.00833
NASDAQ,SEIC,1998-12-31,0.00666
NASDAQ,SEIC,1998-06-12,0.00666
NASDAQ,SEIC,1997-12-29,0.00583
NASDAQ,SEIC,1997-06-10,0.00583
NASDAQ,SEIC,1996-12-27,0.005
NASDAQ,SEIC,1996-06-10,0.005
NASDAQ,SEIC,1995-12-27,0.00417
NASDAQ,SEIC,1995-06-02,0.00417
NASDAQ,SEIC,1993-12-17,0.0025
NASDAQ,SEIC,1993-06-15,0.0025
NASDAQ,SEIC,1992-12-21,0.00154
NASDAQ,SEIC,1992-06-15,0.00154
NASDAQ,SEIC,1991-12-12,0.00154
NASDAQ,SEIC,1991-06-12,0.00104
NASDAQ,SEIC,1990-06-12,0.00104
NASDAQ,SSFN,2010-01-13,0.09
NASDAQ,SSFN,2009-10-13,0.09
NASDAQ,SSFN,2009-07-13,0.09048
NASDAQ,SSFN,2009-04-13,0.09048
NASDAQ,SSFN,2009-01-13,0.09048
NASDAQ,SSFN,2008-10-10,0.08571
NASDAQ,SSFN,2008-07-11,0.08617
NASDAQ,SSFN,2008-04-11,0.08163
NASDAQ,SSFN,2008-01-11,0.08163
NASDAQ,SSFN,2007-10-11,0.078
NASDAQ,SSFN,2007-07-11,0.07774
NASDAQ,SSFN,2007-04-11,0.07774
NASDAQ,SSFN,2007-01-10,0.07774
NASDAQ,SSFN,2006-10-11,0.06565
NASDAQ,SSFN,2006-07-12,0.06581
NASDAQ,SSFN,2006-04-11,0.06581
NASDAQ,SSFN,2006-01-11,0.06581
NASDAQ,SSFN,2005-07-13,0.05486
NASDAQ,SSFN,2005-04-13,0.05289
NASDAQ,SSFN,2005-01-12,0.05289
NASDAQ,SSFN,2004-07-13,0.04477
NASDAQ,SSFN,2004-04-13,0.04477
NASDAQ,SSFN,2004-01-13,0.04477
NASDAQ,SSFN,2003-07-11,0.03731
NASDAQ,SSFN,2003-04-11,0.03553
NASDAQ,SSFN,2003-01-13,0.03553
NASDAQ,SSFN,2002-10-10,0.03199
NASDAQ,SSFN,2002-07-11,0.03046
NASDAQ,SSFN,2002-04-11,0.03046
NASDAQ,SSFN,2002-01-11,0.03046
NASDAQ,SSFN,2001-10-11,0.02707
NASDAQ,SSFN,2001-07-12,0.02579
NASDAQ,SSFN,2001-04-10,0.02579
NASDAQ,STBA,2010-01-28,0.15
NASDAQ,STBA,2009-09-28,0.15
NASDAQ,STBA,2009-06-26,0.15
NASDAQ,STBA,2009-03-27,0.31
NASDAQ,STBA,2008-12-29,0.31
NASDAQ,STBA,2008-09-29,0.31
NASDAQ,STBA,2008-06-27,0.31
NASDAQ,STBA,2008-03-28,0.31
NASDAQ,STBA,2007-12-27,0.31
NASDAQ,STBA,2007-09-27,0.3
NASDAQ,STBA,2007-06-27,0.3
NASDAQ,STBA,2007-03-28,0.3
NASDAQ,STBA,2006-12-27,0.3
NASDAQ,STBA,2006-09-27,0.29
NASDAQ,STBA,2006-06-28,0.29
NASDAQ,STBA,2006-03-29,0.29
NASDAQ,STBA,2005-12-28,0.29
NASDAQ,STBA,2005-09-28,0.28
NASDAQ,STBA,2005-06-29,0.28
NASDAQ,STBA,2005-03-30,0.28
NASDAQ,STBA,2004-12-29,0.27
NASDAQ,STBA,2004-09-29,0.27
NASDAQ,STBA,2004-06-28,0.27
NASDAQ,STBA,2004-03-29,0.26
NASDAQ,STBA,2003-12-29,0.26
NASDAQ,STBA,2003-09-29,0.26
NASDAQ,STBA,2003-06-27,0.25
NASDAQ,STBA,2003-03-28,0.25
NASDAQ,STBA,2002-12-27,0.25
NASDAQ,STBA,2002-09-27,0.24
NASDAQ,STBA,2002-06-27,0.24
NASDAQ,STBA,2002-03-27,0.24
NASDAQ,STBA,2001-12-27,0.24
NASDAQ,STBA,2001-09-27,0.23
NASDAQ,STBA,2001-06-27,0.23
NASDAQ,STBA,2001-03-28,0.22
NASDAQ,STBA,2000-12-27,0.22
