exchange,stock_symbol,date,dividends
NASDAQ,THRD,2010-02-05,0.2
NASDAQ,THRD,2009-11-05,0.2
NASDAQ,THRD,2009-08-05,0.2
NASDAQ,THRD,2009-05-07,0.2
NASDAQ,THRD,2009-02-06,0.2
NASDAQ,THRD,2008-11-05,0.2
NASDAQ,THRD,2008-08-06,0.2
NASDAQ,THRD,2008-05-06,0.2
NASDAQ,THRD,2008-02-06,0.2
NASDAQ,THRD,2007-11-06,0.2
NASDAQ,THRD,2007-08-06,0.2
NASDAQ,THRD,2007-05-04,0.2
NASDAQ,THRD,2007-02-06,0.2
NASDAQ,THRD,2006-11-06,0.19
NASDAQ,THRD,2006-08-04,0.19
NASDAQ,THRD,2006-05-04,0.19
NASDAQ,THRD,2006-02-06,0.19
NASDAQ,THRD,2005-11-03,0.18
NASDAQ,THRD,2005-08-04,0.18
NASDAQ,THRD,2005-05-05,0.18
NASDAQ,THRD,2005-02-03,0.18
NASDAQ,THRD,2004-11-03,0.17
NASDAQ,THRD,2004-08-04,0.17
NASDAQ,THRD,2004-05-06,0.17
NASDAQ,THRD,2004-02-05,0.15
NASDAQ,THRD,2003-11-03,0.15
NASDAQ,THRD,2003-07-31,0.15
NASDAQ,THRD,2003-05-01,0.15
NASDAQ,THRD,2003-01-30,0.15
NASDAQ,THRD,2002-11-01,0.15
NASDAQ,THRD,2002-08-06,0.15
NASDAQ,THRD,2002-05-02,0.15
NASDAQ,THRD,2002-02-01,0.15
NASDAQ,THRD,2001-11-01,0.15
NASDAQ,THRD,2001-07-30,0.15
NASDAQ,THRD,2001-04-27,0.14
NASDAQ,THRD,2001-02-02,0.14
NASDAQ,THRD,2000-11-02,0.13
NASDAQ,THRD,2000-08-03,0.13
NASDAQ,THRD,2000-04-27,0.13
NASDAQ,THRD,2000-01-27,0.13
NASDAQ,THRD,1999-10-28,0.13
NASDAQ,THRD,1999-08-04,0.12
NASDAQ,THRD,1999-04-28,0.12
NASDAQ,THRD,1999-01-27,0.12
NASDAQ,THRD,1998-10-28,0.12
NASDAQ,THRD,1998-07-29,0.12
NASDAQ,THRD,1998-04-29,0.12
NASDAQ,THRD,1998-02-06,0.12
NASDAQ,THRD,1997-11-06,0.1
NASDAQ,THRD,1997-07-29,0.1
NASDAQ,THRD,1997-04-28,0.1
NASDAQ,THRD,1997-01-29,0.1
NASDAQ,THRD,1996-08-08,0.08
NASDAQ,THRD,1996-05-08,0.08
NASDAQ,THRD,1996-04-29,0.08
NASDAQ,THRD,1996-02-08,0.07
NASDAQ,THRD,1995-11-14,0.07
NASDAQ,THRD,1995-08-14,0.07
NASDAQ,THRD,1995-05-11,0.05
NASDAQ,TECH,2009-11-05,0.26
NASDAQ,TECH,2009-08-13,0.25
NASDAQ,TECH,2009-05-06,0.25
NASDAQ,TECH,2009-02-11,0.25
NASDAQ,TECH,2008-10-30,0.25
NASDAQ,TAIT,2009-06-11,0.05
NASDAQ,TAIT,2008-04-11,0.05
NASDAQ,TAIT,2007-01-18,0.1
NASDAQ,TAMB,2009-02-11,0.06
NASDAQ,TAMB,2008-11-12,0.06
NASDAQ,TAMB,2008-08-13,0.055
NASDAQ,TAMB,2008-05-14,0.055
NASDAQ,TAMB,2008-02-13,0.05
NASDAQ,TAMB,2007-11-13,0.05
NASDAQ,TAMB,2007-08-13,0.045
NASDAQ,TAMB,2007-05-11,0.045
NASDAQ,TAMB,2006-12-27,0.03738
NASDAQ,TAMB,2006-10-24,0.03738
NASDAQ,TAMB,2006-07-06,0.03738
NASDAQ,TAMB,2006-03-29,0.03738
NASDAQ,TAMB,2005-12-28,0.02804
NASDAQ,TAMB,2005-12-12,0.02804
NASDAQ,TAMB,2005-09-28,0.02804
NASDAQ,TAMB,2005-06-27,0.02804
NASDAQ,TAMB,2005-03-29,0.02804
NASDAQ,TAMB,2004-12-29,0.02336
NASDAQ,TAMB,2004-09-28,0.02336
NASDAQ,TCBK,2009-12-17,0.13
NASDAQ,TCBK,2009-09-09,0.13
NASDAQ,TCBK,2009-06-03,0.13
NASDAQ,TCBK,2009-03-18,0.13
NASDAQ,TCBK,2008-12-10,0.13
NASDAQ,TCBK,2008-09-10,0.13
NASDAQ,TCBK,2008-06-04,0.13
NASDAQ,TCBK,2008-03-05,0.13
NASDAQ,TCBK,2007-12-05,0.13
NASDAQ,TCBK,2007-09-05,0.13
NASDAQ,TCBK,2007-06-06,0.13
NASDAQ,TCBK,2007-03-20,0.13
NASDAQ,TCBK,2006-12-06,0.12
NASDAQ,TCBK,2006-09-06,0.12
NASDAQ,TCBK,2006-06-07,0.12
NASDAQ,TCBK,2006-03-13,0.12
NASDAQ,TCBK,2005-12-07,0.12
NASDAQ,TCBK,2005-09-07,0.11
NASDAQ,TCBK,2005-06-08,0.11
NASDAQ,TCBK,2005-03-08,0.11
NASDAQ,TCBK,2004-12-08,0.11
NASDAQ,TCBK,2004-09-08,0.11
NASDAQ,TCBK,2004-06-09,0.11
NASDAQ,TCBK,2004-03-08,0.1
NASDAQ,TCBK,2003-12-08,0.1
NASDAQ,TCBK,2003-09-05,0.1
NASDAQ,TCBK,2003-06-06,0.1
NASDAQ,TCBK,2003-03-21,0.1
NASDAQ,TCBK,2002-12-06,0.1
NASDAQ,TCBK,2002-09-06,0.1
NASDAQ,TCBK,2002-06-06,0.1
NASDAQ,TCBK,2002-03-06,0.1
NASDAQ,TCBK,2001-12-06,0.1
NASDAQ,TCBK,2001-09-06,0.1
NASDAQ,TCBK,2001-06-06,0.1
NASDAQ,TCBK,2001-03-07,0.1
NASDAQ,TCBK,2000-12-06,0.1
NASDAQ,TCBK,2000-09-06,0.1
NASDAQ,TCBK,2000-06-07,0.1
NASDAQ,TCBK,2000-03-08,0.095
NASDAQ,TCBK,1999-12-08,0.095
NASDAQ,TCBK,1999-09-08,0.095
NASDAQ,TCBK,1999-06-08,0.08
NASDAQ,TCBK,1999-03-08,0.08
NASDAQ,TCBK,1998-12-08,0.08
NASDAQ,TCBK,1998-09-08,0.05334
NASDAQ,TCBK,1998-06-08,0.05334
NASDAQ,TCBK,1998-03-06,0.05334
NASDAQ,TCBK,1997-12-08,0.05334
NASDAQ,TCBK,1997-09-08,0.05334
NASDAQ,TCBK,1997-06-06,0.05334
NASDAQ,TCBK,1997-03-06,0.05334
NASDAQ,TCBK,1996-12-06,0.05334
NASDAQ,TCBK,1996-09-06,0.05334
NASDAQ,TCBK,1996-06-06,0.04333
NASDAQ,TCBK,1996-03-07,0.04333
NASDAQ,TCBK,1995-12-07,0.04333
NASDAQ,TCBK,1995-09-06,0.02667
NASDAQ,TCBK,1995-06-06,0.02667
NASDAQ,TCBK,1995-03-06,0.02667
NASDAQ,TCBK,1994-12-05,0.02667
NASDAQ,TCBK,1994-09-02,0.02667
NASDAQ,TCBK,1994-06-06,0.02667
NASDAQ,TCBK,1994-03-04,0.02667
NASDAQ,TCBK,1993-09-13,0.02667
NASDAQ,TCBK,1993-06-24,0.02667
NASDAQ,TCBK,1993-06-04,0.02667
NASDAQ,TRMS,2008-12-30,1.0
NASDAQ,TRMS,2008-05-20,1.5
NASDAQ,TRMK,2009-11-27,0.23
NASDAQ,TRMK,2009-08-28,0.23
NASDAQ,TRMK,2009-05-28,0.23
NASDAQ,TRMK,2009-02-25,0.23
NASDAQ,TRMK,2008-11-26,0.23
NASDAQ,TRMK,2008-08-27,0.23
NASDAQ,TRMK,2008-05-28,0.23
NASDAQ,TRMK,2008-02-27,0.23
NASDAQ,TRMK,2007-11-28,0.23
NASDAQ,TRMK,2007-08-29,0.22
NASDAQ,TRMK,2007-05-30,0.22
NASDAQ,TRMK,2007-02-27,0.22
NASDAQ,TRMK,2006-11-29,0.22
NASDAQ,TRMK,2006-08-30,0.21
NASDAQ,TRMK,2006-05-30,0.21
NASDAQ,TRMK,2006-02-27,0.21
NASDAQ,TRMK,2005-11-29,0.21
NASDAQ,TRMK,2005-08-30,0.2
NASDAQ,TRMK,2005-05-27,0.2
NASDAQ,TRMK,2005-02-25,0.2
NASDAQ,TRMK,2004-11-29,0.2
NASDAQ,TRMK,2004-08-30,0.19
NASDAQ,TRMK,2004-05-27,0.19
NASDAQ,TRMK,2004-02-26,0.19
NASDAQ,TRMK,2003-11-26,0.19
NASDAQ,TRMK,2003-08-27,0.165
NASDAQ,TRMK,2003-05-28,0.165
NASDAQ,TRMK,2003-03-04,0.165
NASDAQ,TRMK,2002-11-26,0.165
NASDAQ,TRMK,2002-08-28,0.15
NASDAQ,TRMK,2002-05-29,0.15
NASDAQ,TRMK,2002-02-27,0.15
NASDAQ,TRMK,2001-11-28,0.15
NASDAQ,TRMK,2001-08-29,0.135
NASDAQ,TRMK,2001-05-30,0.135
NASDAQ,TRMK,2001-02-27,0.135
NASDAQ,TRMK,2000-11-29,0.135
NASDAQ,TRMK,2000-08-30,0.125
NASDAQ,TRMK,2000-05-30,0.125
NASDAQ,TRMK,2000-02-28,0.125
NASDAQ,TRMK,1999-11-29,0.125
NASDAQ,TRMK,1999-08-30,0.105
NASDAQ,TRMK,1999-05-27,0.105
NASDAQ,TRMK,1999-02-25,0.105
NASDAQ,TRMK,1998-11-27,0.105
NASDAQ,TRMK,1998-08-28,0.082
NASDAQ,TRMK,1998-05-28,0.082
NASDAQ,TRMK,1998-02-26,0.0825
NASDAQ,TRMK,1997-11-26,0.0825
NASDAQ,TRMK,1997-08-28,0.07
NASDAQ,TRMK,1997-05-29,0.07
NASDAQ,TRMK,1997-02-27,0.07
NASDAQ,TRMK,1996-11-27,0.07
NASDAQ,TRMK,1996-08-28,0.06
NASDAQ,TRMK,1996-05-29,0.06
NASDAQ,TRMK,1996-02-28,0.06
NASDAQ,TRMK,1995-11-29,0.06
NASDAQ,TRMK,1995-08-30,0.054
NASDAQ,TRMK,1995-06-12,0.054
NASDAQ,TRMK,1995-02-23,0.054
NASDAQ,TRMK,1994-11-25,0.054
NASDAQ,TRMK,1994-08-26,0.05
NASDAQ,TRMK,1994-06-03,0.05
NASDAQ,TRMK,1993-11-24,0.05
NASDAQ,TRMK,1993-05-25,0.04666
