exchange,stock_symbol,date,dividends
NASDAQ,UTMD,2009-12-14,0.235
NASDAQ,UTMD,2009-09-14,0.23
NASDAQ,UTMD,2009-06-12,0.23
NASDAQ,UTMD,2009-03-11,0.23
NASDAQ,UTMD,2008-12-12,0.23
NASDAQ,UTMD,2008-09-11,0.225
NASDAQ,UTMD,2008-06-12,0.225
NASDAQ,UTMD,2008-03-12,0.225
NASDAQ,UTMD,2007-12-12,0.225
NASDAQ,UTMD,2007-09-12,0.22
NASDAQ,UTMD,2007-06-13,0.22
NASDAQ,UTMD,2007-03-13,0.22
NASDAQ,UTMD,2006-12-12,0.21
NASDAQ,UTMD,2006-09-13,0.2
NASDAQ,UTMD,2006-06-14,0.19
NASDAQ,UTMD,2006-03-14,0.18
NASDAQ,UTMD,2005-12-14,0.17
NASDAQ,UTMD,2005-09-14,0.155
NASDAQ,UTMD,2005-06-15,0.155
NASDAQ,UTMD,2005-03-14,0.15
NASDAQ,UTMD,2004-12-14,0.15
NASDAQ,UTMD,2004-09-14,0.15
NASDAQ,UTMD,2004-06-14,0.15
NASDAQ,UCBA,2010-02-04,0.1
NASDAQ,UCBA,2009-11-05,0.1
NASDAQ,UCBA,2009-08-06,0.1
NASDAQ,UCBA,2009-05-07,0.1
NASDAQ,UCBA,2009-02-05,0.09
NASDAQ,UCBA,2008-11-06,0.09
NASDAQ,UCBA,2008-08-07,0.09
NASDAQ,UCBA,2008-05-08,0.09
NASDAQ,UCBA,2008-02-07,0.08
NASDAQ,UCBA,2007-11-07,0.08
NASDAQ,UCBA,2007-08-09,0.08
NASDAQ,UCBA,2007-05-10,0.08
NASDAQ,UCBA,2007-02-08,0.07
NASDAQ,UCBA,2006-11-10,0.07
NASDAQ,UCBA,2006-08-09,0.07
NASDAQ,UCBA,2006-05-09,0.07
NASDAQ,UTIW,2009-09-28,0.06
NASDAQ,UTIW,2008-04-28,0.06
NASDAQ,UTIW,2007-04-26,0.06
NASDAQ,UTIW,2006-04-26,0.06
NASDAQ,UTIW,2005-11-29,0.08333
NASDAQ,UTIW,2005-04-27,0.05
NASDAQ,UTIW,2004-04-28,0.03833
NASDAQ,UTIW,2003-04-28,0.03167
NASDAQ,UTIW,2002-04-26,0.025
NASDAQ,UTIW,2001-04-18,0.025
NASDAQ,UBCP,2009-11-24,0.14
NASDAQ,UBCP,2009-09-02,0.14
NASDAQ,UBCP,2009-05-20,0.14
NASDAQ,UBCP,2009-03-04,0.14
NASDAQ,UBCP,2008-11-25,0.14
NASDAQ,UBCP,2008-09-03,0.14
NASDAQ,UBCP,2008-05-21,0.13
NASDAQ,UBCP,2008-03-05,0.13
NASDAQ,UBCP,2007-11-28,0.13
NASDAQ,UBCP,2007-09-05,0.13
NASDAQ,UBCP,2007-05-23,0.13
NASDAQ,UBCP,2007-03-07,0.13
NASDAQ,UBCP,2006-11-29,0.118
NASDAQ,UBCP,2006-09-06,0.11818
NASDAQ,UBCP,2006-05-24,0.11818
NASDAQ,UBCP,2006-03-08,0.11818
NASDAQ,UBCP,2005-11-30,0.10727
NASDAQ,UBCP,2005-09-06,0.11818
NASDAQ,UBCP,2005-05-25,0.11818
NASDAQ,UBCP,2005-03-04,0.11818
NASDAQ,UBCP,2004-12-01,0.11818
NASDAQ,UBCP,2004-09-03,0.10744
NASDAQ,UBCP,2004-05-26,0.10744
NASDAQ,UBCP,2004-03-05,0.10744
NASDAQ,UBCP,2003-11-28,0.10744
NASDAQ,UBCP,2003-09-04,0.09767
NASDAQ,UBCP,2003-05-28,0.09767
NASDAQ,UBCP,2003-03-06,0.09767
NASDAQ,UBCP,2002-11-27,0.09767
NASDAQ,UBCP,2002-08-28,0.09302
NASDAQ,UBCP,2002-05-29,0.09302
NASDAQ,UBCP,2002-03-04,0.09302
NASDAQ,UBCP,2001-11-29,0.09302
NASDAQ,UBCP,2001-08-29,0.08859
NASDAQ,UBCP,2001-05-30,0.08859
NASDAQ,UBCP,2001-03-05,0.08859
NASDAQ,UBCP,2000-11-29,0.08859
NASDAQ,UBCP,2000-08-30,0.08437
NASDAQ,UBCP,2000-05-30,0.08437
NASDAQ,UBCP,2000-02-29,0.08437
NASDAQ,UBCP,1999-11-29,0.08437
NASDAQ,UBCP,1999-08-30,0.08035
NASDAQ,UBCP,1999-05-27,0.07726
NASDAQ,UBCP,1999-02-25,0.07726
NASDAQ,UBCP,1998-11-27,0.08035
NASDAQ,UBCP,1998-08-28,0.07065
NASDAQ,UBCP,1998-05-28,0.07065
NASDAQ,UBCP,1998-02-26,0.07065
NASDAQ,UBCP,1997-11-26,0.07065
NASDAQ,UBCP,1997-08-28,0.07065
NASDAQ,UBCP,1997-05-16,0.05886
NASDAQ,UBCP,1997-02-27,0.05886
NASDAQ,UBCP,1996-12-02,0.05886
NASDAQ,UBCP,1996-08-28,0.05886
NASDAQ,UBCP,1996-05-16,0.05351
NASDAQ,UBCP,1996-03-06,0.05886
NASDAQ,UBCP,1995-11-30,0.05886
NASDAQ,UBCP,1995-08-18,0.05886
NASDAQ,UACL,2009-03-04,1.0
NASDAQ,USEG,2007-07-03,0.1
NASDAQ,UVSP,2009-12-08,0.2
NASDAQ,UVSP,2009-09-08,0.2
NASDAQ,UVSP,2009-06-08,0.2
NASDAQ,UVSP,2009-03-09,0.2
NASDAQ,UVSP,2008-12-08,0.2
NASDAQ,UVSP,2008-09-09,0.2
NASDAQ,UVSP,2008-06-09,0.2
NASDAQ,UVSP,2008-03-10,0.2
NASDAQ,UVSP,2007-12-04,0.2
