exchange,stock_symbol,date,dividends
NASDAQ,VLGEA,2009-12-30,0.24
NASDAQ,VLGEA,2009-09-29,0.23
NASDAQ,VLGEA,2009-06-30,0.215
NASDAQ,VLGEA,2009-03-31,0.2
NASDAQ,VLGEA,2008-12-24,0.0925
NASDAQ,VLGEA,2008-10-08,0.165
NASDAQ,VLGEA,2008-06-30,0.15
NASDAQ,VLGEA,2008-04-02,1.5
NASDAQ,VLGEA,2007-12-24,0.14
NASDAQ,VLGEA,2007-10-10,0.125
NASDAQ,VLGEA,2007-07-10,0.105
NASDAQ,VLGEA,2007-04-03,0.09
NASDAQ,VLGEA,2006-12-26,0.08
NASDAQ,VLGEA,2006-09-27,0.07
NASDAQ,VLGEA,2006-06-28,0.0625
NASDAQ,VLGEA,2006-03-28,0.0525
NASDAQ,VLGEA,2005-12-28,0.0875
NASDAQ,VLGEA,2005-07-20,0.08
NASDAQ,VLGEA,2005-01-19,0.0625
NASDAQ,VLGEA,2004-07-16,0.0425
NASDAQ,VLGEA,2004-01-21,0.035
NASDAQ,VLGEA,2003-07-16,0.0325
NASDAQ,VLGEA,1992-02-10,0.00925
NASDAQ,VLGEA,1990-11-09,0.00925
NASDAQ,VGSH,2010-01-29,0.027
NASDAQ,VMED,2009-12-09,0.04
NASDAQ,VMED,2009-09-09,0.04
NASDAQ,VMED,2009-06-10,0.04
NASDAQ,VMED,2009-03-10,0.04
NASDAQ,VMED,2008-12-10,0.04
NASDAQ,VMED,2008-09-10,0.04
NASDAQ,VMED,2008-06-10,0.04
NASDAQ,VMED,2008-03-10,0.04
NASDAQ,VMED,2007-12-10,0.04
NASDAQ,VMED,2007-09-10,0.04
NASDAQ,VMED,2007-06-08,0.03
NASDAQ,VMED,2007-03-08,0.02
NASDAQ,VMED,2006-12-08,0.02
NASDAQ,VMED,2006-09-08,0.02
NASDAQ,VMED,2006-06-08,0.01
NASDAQ,VPFG,2010-02-02,0.05
NASDAQ,VPFG,2009-10-30,0.05
NASDAQ,VPFG,2009-07-31,0.05
NASDAQ,VPFG,2009-05-05,0.05
NASDAQ,VPFG,2009-01-30,0.08
NASDAQ,VPFG,2008-10-31,0.08
NASDAQ,VPFG,2008-08-01,0.08
NASDAQ,VPFG,2008-05-02,0.07
NASDAQ,VPFG,2008-02-01,0.06
NASDAQ,VPFG,2007-11-06,0.05
NASDAQ,VPFG,2007-08-03,0.05
NASDAQ,VPFG,2007-05-01,0.05
NASDAQ,VPFG,2007-02-05,0.05
NASDAQ,VBFC,2000-05-22,0.764
NASDAQ,VBFC,1999-04-29,0.782
NASDAQ,VBFC,1999-04-23,0.152
NASDAQ,VBFC,1998-04-23,0.687
NASDAQ,VBFC,1997-04-25,0.713
NASDAQ,VBFC,1996-05-24,0.208
NASDAQ,VRTB,2008-06-05,0.08
NASDAQ,VRTB,2008-05-08,0.09
NASDAQ,VRTB,2008-04-02,0.106
NASDAQ,VRTB,2008-03-05,0.106
NASDAQ,VRTB,2008-02-06,0.106
NASDAQ,VRTB,2007-12-27,0.104
NASDAQ,VRTB,2007-11-29,0.104
NASDAQ,VRTB,2007-11-07,0.117
NASDAQ,VRTB,2007-10-05,0.117
NASDAQ,VRTB,2007-09-06,0.13
NASDAQ,VRTB,2007-08-07,0.13
NASDAQ,VRTB,2007-07-05,0.1404
NASDAQ,VRTB,2007-06-05,0.1404
NASDAQ,VRTB,2007-05-07,0.13
NASDAQ,VRTB,2007-04-04,0.13
NASDAQ,VRTB,2007-03-07,0.13
NASDAQ,VRTB,2007-02-06,0.13
NASDAQ,VRTB,2006-12-27,0.273
NASDAQ,VRTB,2006-12-07,0.1
NASDAQ,VRTB,2006-11-09,0.13
NASDAQ,VRTB,2006-10-10,0.11999
NASDAQ,VRTB,2006-09-08,0.11999
NASDAQ,VRTB,2006-08-03,0.32001
NASDAQ,VRTA,2008-06-05,0.02
NASDAQ,VRTA,2008-05-08,0.03
NASDAQ,VRTA,2008-04-02,0.03
NASDAQ,VRTA,2008-03-05,0.041
NASDAQ,VRTA,2008-02-06,0.041
NASDAQ,VRTA,2007-12-27,0.06
NASDAQ,VRTA,2007-11-29,0.047
NASDAQ,VRTA,2007-11-07,0.047
NASDAQ,VRTA,2007-10-05,0.047
NASDAQ,VRTA,2007-09-06,0.047
NASDAQ,VRTA,2007-08-07,0.047
NASDAQ,VRTA,2007-07-05,0.047
NASDAQ,VRTA,2007-06-05,0.047
NASDAQ,VRTA,2007-05-07,0.045
NASDAQ,VRTA,2007-04-04,0.145
NASDAQ,VRTA,2006-12-27,0.15
NASDAQ,VRTA,2006-11-09,0.15
NASDAQ,VRTA,2006-08-03,0.08
NASDAQ,VIVO,2010-01-28,0.19
NASDAQ,VIVO,2009-11-19,0.17
NASDAQ,VIVO,2009-07-23,0.17
NASDAQ,VIVO,2009-04-22,0.17
NASDAQ,VIVO,2009-01-29,0.17
NASDAQ,VIVO,2008-11-19,0.14
NASDAQ,VIVO,2008-07-28,0.14
NASDAQ,VIVO,2008-04-24,0.14
NASDAQ,VIVO,2008-01-29,0.14
NASDAQ,VIVO,2007-11-21,0.11
NASDAQ,VIVO,2007-07-26,0.11
NASDAQ,VIVO,2007-04-26,0.10667
NASDAQ,VIVO,2007-01-25,0.10667
NASDAQ,VIVO,2006-11-22,0.07667
NASDAQ,VIVO,2006-07-27,0.07667
NASDAQ,VIVO,2006-04-27,0.07667
NASDAQ,VIVO,2006-01-30,0.07667
NASDAQ,VIVO,2005-11-17,0.05333
NASDAQ,VIVO,2005-08-02,0.05333
NASDAQ,VIVO,2005-04-28,0.05333
NASDAQ,VIVO,2005-01-28,0.05333
NASDAQ,VIVO,2004-11-23,0.04445
NASDAQ,VIVO,2004-07-29,0.04445
NASDAQ,VIVO,2004-04-29,0.04445
NASDAQ,VIVO,2004-01-29,0.04445
NASDAQ,VIVO,2003-11-25,0.04
NASDAQ,VIVO,2003-07-30,0.04
NASDAQ,VIVO,2003-04-29,0.04
NASDAQ,VIVO,2003-01-30,0.04
NASDAQ,VIVO,2002-11-21,0.03111
NASDAQ,VIVO,2002-07-31,0.03111
NASDAQ,VIVO,2002-04-29,0.03111
NASDAQ,VIVO,2002-01-30,0.03111
NASDAQ,VIVO,2001-11-21,0.02889
NASDAQ,VIVO,2001-07-30,0.02889
NASDAQ,VIVO,2001-04-27,0.02889
NASDAQ,VIVO,2001-01-30,0.02889
NASDAQ,VIVO,2000-11-22,0.02667
NASDAQ,VIVO,2000-07-28,0.02667
NASDAQ,VIVO,2000-04-27,0.02667
NASDAQ,VIVO,2000-01-28,0.02667
NASDAQ,VIVO,1999-11-22,0.02222
NASDAQ,VIVO,1999-07-29,0.02222
NASDAQ,VIVO,1999-04-29,0.02222
NASDAQ,VIVO,1999-01-28,0.02222
NASDAQ,VIVO,1998-11-23,0.02222
NASDAQ,VIVO,1998-08-03,0.02222
NASDAQ,VIVO,1998-04-29,0.02222
NASDAQ,VIVO,1998-01-28,0.02222
NASDAQ,VIVO,1997-11-25,0.01867
NASDAQ,VIVO,1997-07-30,0.01867
NASDAQ,VIVO,1997-04-30,0.01867
NASDAQ,VIVO,1997-01-30,0.01867
NASDAQ,VIVO,1996-11-25,0.01555
NASDAQ,VIVO,1996-08-01,0.01555
NASDAQ,VIVO,1996-04-23,0.01555
NASDAQ,VIVO,1996-02-01,0.01555
NASDAQ,VIVO,1995-11-21,0.01245
NASDAQ,VIVO,1995-08-02,0.01185
NASDAQ,VIVO,1995-05-02,0.01185
NASDAQ,VIVO,1995-01-30,0.01185
NASDAQ,VIVO,1994-11-21,0.0083
NASDAQ,VIVO,1994-11-08,0.00889
NASDAQ,VIVO,1994-08-05,0.00889
NASDAQ,VIVO,1994-02-24,0.00889
NASDAQ,VIVO,1993-12-07,0.00741
NASDAQ,VIVO,1993-11-24,0.00741
NASDAQ,VIVO,1993-08-05,0.00741
NASDAQ,VIVO,1993-05-04,0.00741
NASDAQ,VIVO,1993-02-23,0.00741
NASDAQ,VIVO,1992-11-30,0.00503
NASDAQ,VIVO,1992-11-17,0.00503
NASDAQ,VIVO,1992-08-07,0.00503
NASDAQ,VIVO,1992-05-04,0.00503
NASDAQ,VSBN,2009-12-15,0.06
NASDAQ,VSBN,2009-09-15,0.06
NASDAQ,VSBN,2009-06-17,0.06
NASDAQ,VSBN,2009-03-18,0.06
NASDAQ,VSBN,2008-12-15,0.06
NASDAQ,VSBN,2008-09-17,0.06
NASDAQ,VSBN,2008-06-18,0.06
NASDAQ,VSBN,2008-03-18,0.06
NASDAQ,VSBN,2007-11-27,0.06
NASDAQ,VCSH,2010-01-29,0.127
NASDAQ,VMBS,2010-01-29,0.107
NASDAQ,VGIT,2010-01-29,0.077
NASDAQ,VTNC,2001-06-08,0.035
NASDAQ,VTNC,2000-12-13,0.035
NASDAQ,VTNC,2000-06-08,0.035
NASDAQ,VTNC,1999-12-13,0.018
NASDAQ,VTNC,1999-06-09,0.018
NASDAQ,VLCCF,2009-02-13,0.25
NASDAQ,VLCCF,2008-11-13,0.5
NASDAQ,VLCCF,2008-08-20,0.75
NASDAQ,VLCCF,2008-05-22,0.75
NASDAQ,VLCCF,2008-02-22,0.75
NASDAQ,VLCCF,2007-11-21,0.5
NASDAQ,VLCCF,2007-08-22,0.6
NASDAQ,VLCCF,2007-05-23,0.6
NASDAQ,VLCCF,2007-02-22,0.8
NASDAQ,VLCCF,2006-11-22,1.0
NASDAQ,VLCCF,2006-08-23,0.8
NASDAQ,VLCCF,2006-05-24,1.0
NASDAQ,VLCCF,2006-02-21,0.8
NASDAQ,VLCCF,2005-11-17,0.5
NASDAQ,VLCCF,2005-08-24,0.8
NASDAQ,VLCCF,2005-05-17,1.5
NASDAQ,VLCCF,2005-02-23,1.75
NASDAQ,VLCCF,2004-11-10,1.0
NASDAQ,VLCCF,2004-08-11,0.75
NASDAQ,VLCCF,2004-05-20,2.0
NASDAQ,VLCCF,2004-01-23,0.8
NASDAQ,VLCCF,2003-10-23,0.523
NASDAQ,VLCCF,2003-07-23,0.65
NASDAQ,VLCCF,2003-04-23,1.19
NASDAQ,VLCCF,2003-01-23,0.45
NASDAQ,VLCCF,2002-07-23,0.45
NASDAQ,VLCCF,2002-01-23,0.46
NASDAQ,VLCCF,2001-10-23,0.45
NASDAQ,VLCCF,2001-07-24,0.72
NASDAQ,VLCCF,2001-04-25,1.39
NASDAQ,VLCCF,2001-01-24,1.68
NASDAQ,VLCCF,2000-10-24,1.17
NASDAQ,VLCCF,2000-07-20,0.61
NASDAQ,VLCCF,2000-04-25,0.44
NASDAQ,VLCCF,2000-01-26,0.44
NASDAQ,VLCCF,1999-10-22,0.45
NASDAQ,VLCCF,1999-07-23,0.47
NASDAQ,VLCCF,1999-04-22,0.515
NASDAQ,VLCCF,1999-01-22,0.515
NASDAQ,VLCCF,1998-10-22,0.53
NASDAQ,VLCCF,1998-07-23,0.17
NASDAQ,VLCCF,1998-04-23,0.17
NASDAQ,VLCCF,1998-01-22,0.17
NASDAQ,VLCCF,1997-10-23,0.17
NASDAQ,VLCCF,1997-07-29,0.17
NASDAQ,VLCCF,1997-04-23,0.17
NASDAQ,VCLT,2010-01-29,0.325
