exchange,stock_symbol,date,dividends
NASDAQ,WVFC,2009-11-12,0.16
NASDAQ,WVFC,2009-08-06,0.16
NASDAQ,WVFC,2009-05-07,0.16
NASDAQ,WVFC,2009-02-05,0.16
NASDAQ,WVFC,2008-11-06,0.16
NASDAQ,WVFC,2008-08-07,0.16
NASDAQ,WVFC,2008-05-08,0.16
NASDAQ,WVFC,2008-02-07,0.16
NASDAQ,WVFC,2007-11-07,0.16
NASDAQ,WVFC,2007-08-09,0.16
NASDAQ,WVFC,2007-05-10,0.16
NASDAQ,WVFC,2007-02-01,0.16
NASDAQ,WVFC,2006-11-02,0.16
NASDAQ,WVFC,2006-08-03,0.16
NASDAQ,WVFC,2006-05-04,0.16
NASDAQ,WVFC,2006-02-02,0.16
NASDAQ,WVFC,2005-11-03,0.16
NASDAQ,WVFC,2005-08-04,0.16
NASDAQ,WVFC,2005-05-05,0.16
NASDAQ,WVFC,2005-02-03,0.16
NASDAQ,WVFC,2004-11-04,0.16
NASDAQ,WVFC,2004-08-05,0.16
NASDAQ,WVFC,2004-05-06,0.16
NASDAQ,WVFC,2004-02-05,0.16
NASDAQ,WVFC,2003-11-06,0.16
NASDAQ,WVFC,2003-08-07,0.16
NASDAQ,WVFC,2003-05-08,0.16
NASDAQ,WVFC,2003-02-06,0.16
NASDAQ,WVFC,2002-10-31,0.16
NASDAQ,WVFC,2002-08-01,0.16
NASDAQ,WVFC,2002-05-02,0.16
NASDAQ,WVFC,2002-01-31,0.16
NASDAQ,WVFC,2001-11-01,0.16
NASDAQ,WVFC,2001-08-02,0.16
NASDAQ,WVFC,2001-05-03,0.16
NASDAQ,WVFC,2001-02-01,0.16
NASDAQ,WVFC,2000-11-02,0.16
NASDAQ,WVFC,2000-08-03,0.16
NASDAQ,WVFC,2000-05-04,0.16
NASDAQ,WVFC,2000-02-03,0.16
NASDAQ,WVFC,1999-11-04,0.16
NASDAQ,WVFC,1999-08-05,0.16
NASDAQ,WVFC,1999-05-06,0.16
NASDAQ,WVFC,1999-02-04,0.16
NASDAQ,WVFC,1998-11-05,0.16
NASDAQ,WVFC,1998-08-06,0.15
NASDAQ,WVFC,1998-05-07,0.275
NASDAQ,WVFC,1998-02-05,1.1
NASDAQ,WVFC,1997-11-06,0.15
NASDAQ,WVFC,1997-08-07,0.1
NASDAQ,WVFC,1997-05-08,0.1
NASDAQ,WVFC,1997-02-06,0.1
NASDAQ,WVFC,1996-11-06,0.1
NASDAQ,WVFC,1996-08-08,0.05
NASDAQ,WVFC,1996-05-02,0.046
NASDAQ,WVFC,1996-02-08,0.05
NASDAQ,WVFC,1995-11-09,0.05
NASDAQ,WVFC,1995-08-03,0.03
NASDAQ,WVFC,1995-05-02,0.03
NASDAQ,WVFC,1995-02-07,0.03
NASDAQ,WVFC,1994-11-01,0.03
NASDAQ,WVFC,1994-08-02,0.02
NASDAQ,WVFC,1994-05-06,0.02
NASDAQ,WTFC,2009-08-11,0.09
NASDAQ,WTFC,2009-02-10,0.18
NASDAQ,WTFC,2008-08-05,0.18
NASDAQ,WTFC,2008-02-05,0.18
NASDAQ,WTFC,2007-08-07,0.16
NASDAQ,WTFC,2007-02-06,0.16
