exchange,stock_symbol,date,dividends
NASDAQ,XTEX,2009-02-05,0.25
NASDAQ,XTEX,2008-11-06,0.5
NASDAQ,XTEX,2008-07-31,0.63
NASDAQ,XTEX,2008-04-30,0.62
NASDAQ,XTEX,2008-01-31,0.61
NASDAQ,XTEX,2007-10-31,0.59
NASDAQ,XTEX,2007-07-31,0.57
NASDAQ,XTEX,2007-04-30,0.56
NASDAQ,XTEX,2007-01-31,0.56
NASDAQ,XTEX,2006-10-30,0.55
NASDAQ,XTEX,2006-07-31,0.54
NASDAQ,XTEX,2006-04-27,0.53
NASDAQ,XTEX,2006-01-31,0.51
NASDAQ,XTEX,2005-10-28,0.49
NASDAQ,XTEX,2005-07-28,0.47
NASDAQ,XTEX,2005-05-05,0.46
NASDAQ,XTEX,2005-02-01,0.45
NASDAQ,XTEX,2004-11-03,0.43
NASDAQ,XTEX,2004-08-04,0.42
NASDAQ,XTEX,2004-04-29,0.4
NASDAQ,XTEX,2004-01-29,0.375
NASDAQ,XTEX,2003-10-28,0.35
NASDAQ,XTEX,2003-07-29,0.275
NASDAQ,XTEX,2003-04-28,0.288
NASDAQ,XLNX,2010-02-08,0.16
NASDAQ,XLNX,2009-11-02,0.16
NASDAQ,XLNX,2009-08-03,0.14
NASDAQ,XLNX,2009-05-11,0.14
NASDAQ,XLNX,2009-02-02,0.14
NASDAQ,XLNX,2008-11-03,0.14
NASDAQ,XLNX,2008-08-04,0.14
NASDAQ,XLNX,2008-05-05,0.14
NASDAQ,XLNX,2008-02-04,0.12
NASDAQ,XLNX,2007-11-09,0.12
NASDAQ,XLNX,2007-08-13,0.12
NASDAQ,XLNX,2007-05-07,0.12
NASDAQ,XLNX,2007-02-05,0.09
NASDAQ,XLNX,2006-11-13,0.09
NASDAQ,XLNX,2006-08-14,0.09
NASDAQ,XLNX,2006-05-08,0.09
NASDAQ,XLNX,2006-02-06,0.07
NASDAQ,XLNX,2005-11-15,0.07
NASDAQ,XLNX,2005-08-15,0.07
NASDAQ,XLNX,2005-05-09,0.07
NASDAQ,XLNX,2005-02-14,0.05
NASDAQ,XLNX,2004-11-15,0.05
NASDAQ,XLNX,2004-08-16,0.05
NASDAQ,XLNX,2004-05-10,0.05
NASDAQ,XRIT,2006-10-12,0.025
NASDAQ,XRIT,2006-07-13,0.025
NASDAQ,XRIT,2006-04-11,0.025
NASDAQ,XRIT,2006-01-12,0.025
NASDAQ,XRIT,2005-10-13,0.025
NASDAQ,XRIT,2005-07-14,0.025
NASDAQ,XRIT,2005-04-13,0.025
NASDAQ,XRIT,2005-01-12,0.025
NASDAQ,XRIT,2004-10-14,0.025
NASDAQ,XRIT,2004-07-15,0.025
NASDAQ,XRIT,2004-04-15,0.025
NASDAQ,XRIT,2004-01-14,0.025
NASDAQ,XRIT,2003-10-08,0.025
NASDAQ,XRIT,2003-07-10,0.025
NASDAQ,XRIT,2003-04-09,0.025
NASDAQ,XRIT,2003-01-09,0.025
NASDAQ,XRIT,2002-10-09,0.025
NASDAQ,XRIT,2002-07-11,0.025
NASDAQ,XRIT,2002-04-10,0.025
NASDAQ,XRIT,2002-01-10,0.025
NASDAQ,XRIT,2001-10-10,0.025
NASDAQ,XRIT,2001-07-12,0.025
NASDAQ,XRIT,2001-04-11,0.025
NASDAQ,XRIT,2001-01-10,0.025
NASDAQ,XRIT,2000-10-12,0.025
NASDAQ,XRIT,2000-07-13,0.025
NASDAQ,XRIT,2000-04-13,0.025
NASDAQ,XRIT,2000-01-12,0.025
NASDAQ,XRIT,1999-10-14,0.025
NASDAQ,XRIT,1999-07-15,0.025
NASDAQ,XRIT,1999-04-14,0.025
NASDAQ,XRIT,1999-01-13,0.025
NASDAQ,XRIT,1998-10-14,0.025
NASDAQ,XRIT,1998-07-15,0.025
NASDAQ,XRIT,1998-04-15,0.025
NASDAQ,XRIT,1998-01-14,0.025
NASDAQ,XRIT,1997-10-15,0.025
NASDAQ,XRIT,1997-07-16,0.025
NASDAQ,XRIT,1997-04-16,0.025
NASDAQ,XRIT,1997-01-13,0.025
NASDAQ,XRIT,1996-10-09,0.025
NASDAQ,XRIT,1996-07-11,0.025
NASDAQ,XRIT,1996-04-10,0.025
NASDAQ,XRIT,1996-01-10,0.025
NASDAQ,XRIT,1995-10-11,0.025
NASDAQ,XRIT,1995-07-13,0.025
NASDAQ,XRIT,1995-04-07,0.025
NASDAQ,XRIT,1995-01-09,0.025
NASDAQ,XRIT,1994-10-07,0.02
NASDAQ,XRIT,1994-07-11,0.02
NASDAQ,XRIT,1994-04-08,0.02
NASDAQ,XRIT,1994-01-18,0.02
NASDAQ,XRIT,1993-10-07,0.02
NASDAQ,XRIT,1993-07-09,0.02
NASDAQ,XRIT,1993-04-07,0.02
NASDAQ,XRIT,1993-01-11,0.02
NASDAQ,XRIT,1992-10-07,0.02
NASDAQ,XRIT,1992-07-09,0.01
NASDAQ,XRIT,1992-04-08,0.01
NASDAQ,XRIT,1992-01-09,0.01
NASDAQ,XRIT,1991-10-07,0.01
NASDAQ,XRIT,1991-10-01,0.01
NASDAQ,XRIT,1991-07-09,0.0075
NASDAQ,XRIT,1991-04-08,0.0075
NASDAQ,XRIT,1990-10-05,0.0075
NASDAQ,XRIT,1990-07-10,0.0075
NASDAQ,XRIT,1990-04-06,0.0075
NASDAQ,XRAY,2009-09-23,0.05
NASDAQ,XRAY,2009-06-24,0.05
