exchange,stock_symbol,date,dividends
NASDAQ,YRCW,2002-10-01,3.98
NASDAQ,YRCW,1995-04-25,0.235
NASDAQ,YRCW,1995-02-07,0.235
NASDAQ,YRCW,1994-10-25,0.235
NASDAQ,YRCW,1994-07-26,0.235
NASDAQ,YRCW,1994-04-26,0.235
NASDAQ,YRCW,1994-02-08,0.235
NASDAQ,YRCW,1993-10-26,0.235
NASDAQ,YRCW,1993-07-27,0.235
NASDAQ,YRCW,1993-04-27,0.235
NASDAQ,YRCW,1993-02-02,0.235
NASDAQ,YRCW,1992-10-27,0.235
NASDAQ,YRCW,1992-07-28,0.235
NASDAQ,YRCW,1992-04-28,0.235
NASDAQ,YRCW,1992-02-04,0.235
NASDAQ,YRCW,1991-10-29,0.235
NASDAQ,YRCW,1991-04-30,0.235
NASDAQ,YRCW,1991-02-05,0.235
NASDAQ,YRCW,1990-10-30,0.235
NASDAQ,YRCW,1990-07-31,0.205
NASDAQ,YRCW,1990-05-01,0.19
NASDAQ,YRCW,1989-08-01,0.19
NASDAQ,YRCW,1989-05-02,0.175
NASDAQ,YRCW,1989-02-07,0.175
NASDAQ,YRCW,1988-11-01,0.175
NASDAQ,YRCW,1988-08-02,0.175
NASDAQ,YRCW,1988-05-03,0.15
NASDAQ,YRCW,1987-11-03,0.15
NASDAQ,YRCW,1987-08-04,0.062
NASDAQ,YORW,2009-12-29,0.128
NASDAQ,YORW,2009-09-28,0.126
NASDAQ,YORW,2009-06-26,0.126
NASDAQ,YORW,2009-02-25,0.126
NASDAQ,YORW,2008-12-29,0.126
NASDAQ,YORW,2008-09-26,0.121
NASDAQ,YORW,2008-06-26,0.121
NASDAQ,YORW,2008-02-28,0.121
NASDAQ,YORW,2007-12-27,0.121
NASDAQ,YORW,2007-09-26,0.118
NASDAQ,YORW,2007-06-27,0.118
NASDAQ,YORW,2007-03-13,0.118
NASDAQ,YORW,2006-12-28,0.118
NASDAQ,YORW,2006-09-27,0.112
NASDAQ,YORW,2006-06-28,0.112
NASDAQ,YORW,2006-03-13,0.112
NASDAQ,YORW,2005-12-28,0.112
NASDAQ,YORW,2005-09-28,0.104
NASDAQ,YORW,2005-06-28,0.104
NASDAQ,YORW,2005-03-11,0.104
NASDAQ,YORW,2004-12-29,0.104
NASDAQ,YORW,2004-09-28,0.09667
NASDAQ,YORW,2004-06-28,0.09667
NASDAQ,YORW,2004-03-11,0.09667
NASDAQ,YORW,2003-12-29,0.09667
NASDAQ,YORW,2003-09-26,0.09
NASDAQ,YORW,2003-06-26,0.09
NASDAQ,YORW,2003-03-12,0.09
NASDAQ,YORW,2002-12-27,0.09
NASDAQ,YORW,2002-09-26,0.08667
NASDAQ,YORW,2002-06-27,0.08667
NASDAQ,YORW,2002-03-13,0.08667
NASDAQ,YORW,2001-12-27,0.08667
NASDAQ,YORW,2001-09-27,0.08333
NASDAQ,YORW,2001-06-27,0.08333
NASDAQ,YORW,2001-03-13,0.08333
NASDAQ,YORW,2000-12-27,0.08333
NASDAQ,YDNT,2009-11-10,0.04
NASDAQ,YDNT,2009-08-12,0.04
NASDAQ,YDNT,2009-05-20,0.04
NASDAQ,YDNT,2009-02-11,0.04
NASDAQ,YDNT,2008-11-12,0.04
NASDAQ,YDNT,2008-08-13,0.04
NASDAQ,YDNT,2008-05-20,0.04
NASDAQ,YDNT,2008-02-13,0.04
NASDAQ,YDNT,2007-11-13,0.04
NASDAQ,YDNT,2007-08-13,0.04
NASDAQ,YDNT,2007-05-18,0.04
NASDAQ,YDNT,2007-02-13,0.04
NASDAQ,YDNT,2006-11-13,0.04
NASDAQ,YDNT,2006-08-11,0.04
NASDAQ,YDNT,2006-05-18,0.04
NASDAQ,YDNT,2006-02-13,0.04
NASDAQ,YDNT,2005-11-10,0.04
NASDAQ,YDNT,2005-08-10,0.04
NASDAQ,YDNT,2005-05-17,0.04
NASDAQ,YDNT,2005-02-11,0.04
NASDAQ,YDNT,2004-11-10,0.04
NASDAQ,YDNT,2004-08-10,0.04
NASDAQ,YDNT,2004-05-19,0.04
NASDAQ,YDNT,2004-02-11,0.04
NASDAQ,YDNT,2003-11-12,0.03
NASDAQ,YDNT,2003-08-13,0.03
NASDAQ,YAVY,2009-07-09,0.06
NASDAQ,YAVY,2009-04-01,0.06
NASDAQ,YAVY,2008-12-30,0.13
NASDAQ,YAVY,2008-10-01,0.13
NASDAQ,YAVY,2008-07-08,0.13
NASDAQ,YAVY,2008-04-11,0.13
NASDAQ,YAVY,2008-01-02,0.13
NASDAQ,YAVY,2007-10-03,0.13
NASDAQ,YAVY,2007-07-03,0.13
NASDAQ,YAVY,2007-04-04,0.12
NASDAQ,YAVY,2007-01-03,0.12
NASDAQ,YAVY,2006-10-05,0.12
NASDAQ,YAVY,2006-07-05,0.12
NASDAQ,YAVY,2006-04-05,0.11
NASDAQ,YAVY,2006-01-04,0.11
NASDAQ,YAVY,2005-10-05,0.11
NASDAQ,YAVY,2005-07-06,0.11
NASDAQ,YAVY,2005-03-30,0.1
NASDAQ,YAVY,2005-01-05,0.1
NASDAQ,YAVY,2004-10-06,0.1
NASDAQ,YAVY,2004-06-30,0.1
NASDAQ,YAVY,2004-04-06,0.1
NASDAQ,YAVY,2004-01-07,0.1
NASDAQ,YAVY,2003-10-01,0.1
NASDAQ,YAVY,2003-07-01,0.1
NASDAQ,YAVY,2003-04-02,0.1
NASDAQ,YAVY,2003-01-02,0.1
NASDAQ,YAVY,2002-10-02,0.1
NASDAQ,YAVY,2002-07-02,0.1
NASDAQ,YAVY,2002-04-03,0.1
NASDAQ,YAVY,2001-12-31,0.1
NASDAQ,YAVY,2001-09-27,0.1
NASDAQ,YAVY,2001-06-28,0.1
NASDAQ,YAVY,2001-03-30,0.1
NASDAQ,YAVY,2001-01-03,0.1
NASDAQ,YAVY,2000-10-18,0.09
NASDAQ,YAVY,2000-06-29,0.09
NASDAQ,YAVY,2000-04-05,0.09
NASDAQ,YAVY,1999-12-30,0.09
NASDAQ,YAVY,1999-09-30,0.075
NASDAQ,YAVY,1999-07-01,0.076
NASDAQ,YAVY,1999-03-31,0.065
