exchange,stock_symbol,date,dividends
NASDAQ,ZEUS,2009-11-27,0.02
NASDAQ,ZEUS,2009-08-28,0.02
NASDAQ,ZEUS,2009-05-28,0.02
NASDAQ,ZEUS,2009-02-26,0.05
NASDAQ,ZEUS,2008-11-26,0.05
NASDAQ,ZEUS,2008-08-27,1.05
NASDAQ,ZEUS,2008-05-29,0.04
NASDAQ,ZEUS,2008-02-28,0.04
NASDAQ,ZEUS,2007-11-29,0.04
NASDAQ,ZEUS,2007-08-29,0.04
NASDAQ,ZEUS,2007-05-30,0.03
NASDAQ,ZEUS,2007-02-27,0.03
NASDAQ,ZEUS,2006-11-29,0.03
NASDAQ,ZEUS,2006-09-11,0.03
NASDAQ,ZEUS,2006-05-30,0.03
NASDAQ,ZEUS,2006-02-27,0.03
NASDAQ,ZIXI,1995-03-01,0.02
NASDAQ,ZIXI,1994-12-01,0.02
NASDAQ,ZIXI,1994-08-30,0.02
NASDAQ,ZIXI,1994-05-27,0.02
NASDAQ,ZIXI,1993-11-29,0.02
NASDAQ,ZIXI,1993-08-30,0.02
NASDAQ,ZRBA,2005-11-08,0.04
NASDAQ,ZRBA,2004-11-15,0.04
NASDAQ,ZRBA,2003-11-10,0.04
NASDAQ,ZRBA,2002-11-14,0.04
NASDAQ,ZRBA,2001-11-08,0.03333
NASDAQ,ZRBA,2000-11-09,0.03333
NASDAQ,ZRBA,1999-11-17,0.00667
NASDAQ,ZRBA,1999-11-10,0.00667
NASDAQ,ZRBA,1998-11-10,0.00667
NASDAQ,ZRBA,1997-11-05,0.00667
NASDAQ,ZRBA,1996-11-26,0.00667
NASDAQ,ZRBA,1995-11-13,0.00667
NASDAQ,ZRBA,1994-11-08,0.01
NASDAQ,ZRBA,1992-11-04,0.01
NASDAQ,ZRBA,1992-05-05,0.00333
NASDAQ,ZION,2010-02-08,0.01
NASDAQ,ZION,2009-11-09,0.01
NASDAQ,ZION,2009-08-10,0.01
NASDAQ,ZION,2009-05-11,0.04
NASDAQ,ZION,2009-02-09,0.04
NASDAQ,ZION,2008-11-03,0.32
NASDAQ,ZION,2008-08-04,0.43
NASDAQ,ZION,2008-05-05,0.43
NASDAQ,ZION,2008-02-04,0.43
NASDAQ,ZION,2007-11-05,0.43
NASDAQ,ZION,2007-08-06,0.43
NASDAQ,ZION,2007-05-08,0.43
NASDAQ,ZION,2007-05-07,0.43
NASDAQ,ZION,2007-02-05,0.39
NASDAQ,ZION,2006-11-06,0.39
NASDAQ,ZION,2006-08-07,0.36
NASDAQ,ZION,2006-05-08,0.36
NASDAQ,ZION,2006-02-06,0.36
NASDAQ,ZION,2005-11-07,0.36
NASDAQ,ZION,2005-08-08,0.36
NASDAQ,ZION,2005-05-16,0.36
NASDAQ,ZION,2005-02-07,0.36
NASDAQ,ZION,2004-11-08,0.32
NASDAQ,ZION,2004-08-09,0.32
NASDAQ,ZION,2004-05-10,0.32
NASDAQ,ZION,2004-02-09,0.3
NASDAQ,ZION,2003-11-07,0.3
NASDAQ,ZION,2003-08-11,0.3
NASDAQ,ZION,2003-05-12,0.21
NASDAQ,ZION,2003-02-10,0.21
NASDAQ,ZION,2002-11-08,0.2
NASDAQ,ZION,2002-08-12,0.2
NASDAQ,ZION,2002-05-13,0.2
NASDAQ,ZION,2002-02-11,0.2
NASDAQ,ZION,2001-08-13,0.2
NASDAQ,ZION,2001-05-14,0.2
NASDAQ,ZION,2001-02-12,0.2
NASDAQ,ZION,2000-11-13,0.2
NASDAQ,ZION,2000-08-10,0.2
NASDAQ,ZION,2000-05-11,0.268
NASDAQ,ZION,2000-01-27,0.29
NASDAQ,ZION,1999-09-30,0.29
NASDAQ,ZION,1999-06-30,0.29
NASDAQ,ZION,1999-03-31,0.14
NASDAQ,ZION,1998-12-30,0.14
NASDAQ,ZION,1998-10-01,0.14
NASDAQ,ZION,1998-07-09,0.14
NASDAQ,ZION,1998-04-02,0.12
NASDAQ,ZION,1997-12-31,0.12
NASDAQ,ZION,1997-10-08,0.12
NASDAQ,ZION,1997-07-10,0.12
NASDAQ,ZION,1997-04-10,0.11
NASDAQ,ZION,1997-01-03,0.11
NASDAQ,ZION,1996-10-09,0.11
NASDAQ,ZION,1996-07-02,0.1025
NASDAQ,ZION,1996-03-28,0.1025
NASDAQ,ZION,1995-12-29,0.1025
NASDAQ,ZION,1995-09-29,0.0875
NASDAQ,ZION,1995-06-29,0.0875
NASDAQ,ZION,1995-03-28,0.075
NASDAQ,ZION,1994-12-28,0.075
NASDAQ,ZION,1994-09-27,0.075
NASDAQ,ZION,1994-06-28,0.07
NASDAQ,ZION,1994-03-28,0.07
NASDAQ,ZION,1993-12-29,0.07
NASDAQ,ZION,1993-09-27,0.07
NASDAQ,ZION,1993-07-02,0.0525
NASDAQ,ZION,1993-03-30,0.0525
NASDAQ,ZION,1992-12-29,0.045
NASDAQ,ZION,1992-09-29,0.045
NASDAQ,ZION,1992-06-29,0.045
NASDAQ,ZION,1992-03-30,0.045
NASDAQ,ZION,1991-12-31,0.045
NASDAQ,ZION,1991-04-02,0.045
NASDAQ,ZION,1990-12-26,0.045
NASDAQ,ZION,1990-09-25,0.045
